EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair County,190,8,3,0
Appanoose County,329,13,3,3
Boone County,1444,55,25,0
Carroll County,548,9,7,0
Clarke County,365,34,12,0
Dallas County,4410,865,526,15
Davis County,293,20,10,0
Decatur County,194,0,0,0
Greene County,308,13,14,0
Guthrie County,411,43,29,3
Jasper County,1793,257,190,16
Lucas County,179,6,1,0
Madison County,452,25,11,1
Mahaska County,684,85,18,7
Marion County,808,30,19,0
Marshall County,3324,872,456,11
Monroe County,246,33,12,4
Polk County,21510,3815,1501,109
Poweshiek County,554,86,69,8
Ringgold County,131,4,0,0
Story County,2220,96,69,1
Tama County,1440,397,223,23
Union County,352,7,1,0
Warren County,1774,111,74,0
Wayne County,106,1,1,0
Butler County,495,15,12,0
Cerro Gordo County,2270,22,15,1
Chickasaw County,329,8,7,0
Floyd County,697,18,10,1
Franklin County,527,8,5,0
Hancock County,428,13,4,0
Hardin County,470,13,9,0
Kossuth County,341,7,2,0
Mitchell County,323,4,4,0
Winnebago County,319,10,7,0
Worth County,268,3,3,0
Wright County,1070,124,15,0
Buena Vista County,1782,247,39,0
Calhoun County,261,3,1,0
Cherokee County,370,18,8,0
Clay County,330,10,9,0
Dickinson County,290,9,6,0
Emmet County,243,7,3,0
Hamilton County,940,26,9,0
Humboldt County,280,13,7,0
Ida County,249,13,7,0
Lyon County,255,19,18,0
Monona County,323,24,13,0
O'Brien County,387,24,14,0
Osceola County,175,32,26,0
Palo Alto County,145,3,1,0
Plymouth County,994,118,71,1
Pocahontas County,200,4,2,0
Sac County,420,13,4,0
Sioux County,946,204,97,0
Webster County,1358,27,10,1
Woodbury County,10458,2638,1288,24
Adams County,95,5,1,0
Audubon County,205,12,9,1
Cass County,340,11,1,0
Crawford County,1772,486,267,2
Fremont County,125,4,2,0
Harrison County,386,19,17,0
Mills County,1127,16,11,0
Montgomery County,236,6,5,0
Page County,497,10,9,0
Pottawattamie County,2784,215,122,8
Shelby County,280,31,24,0
Taylor County,230,39,1,0
Cedar County,784,46,40,1
Clinton County,1374,60,55,1
Des Moines County,817,56,31,1
Henry County,645,64,43,1
Iowa County,638,33,30,0
Jackson County,490,12,8,0
Jefferson County,360,18,10,0
Johnson County,6487,604,339,7
Keokuk County,336,14,11,0
Lee County,567,23,17,0
Louisa County,1019,336,213,7
Muscatine County,2881,545,356,40
Scott County,5801,340,287,9
Van Buren,158,10,8,0
Wapello County,2157,511,157,4
Washington County,1330,184,137,8
Allamakee County,745,118,86,4
Benton County,865,37,31,1
Black Hawk County,8530,1690,970,40
Bremer County,747,67,54,6
Buchanan County,645,32,24,0
Clayton County,588,30,24,3
Delaware County,542,15,12,0
Dubuque County,4808,323,147,16
Fayette County,713,26,25,0
Grundy County,414,19,12,0
Howard County,297,12,10,0
Jones County,668,36,34,0
Linn County,8379,936,760,75
Winneshiek County,664,23,19,0
Pending Investigation,453,3,1,0
