EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair County,173,6,3,0
Appanoose County,289,8,3,3
Boone County,1350,53,23,0
Carroll County,493,8,7,0
Clarke County,339,29,9,0
Dallas County,4127,832,505,14
Davis County,136,17,10,0
Decatur County,187,0,0,0
Greene County,293,13,14,0
Guthrie County,375,42,29,3
Jasper County,1723,254,189,16
Lucas County,163,4,1,0
Madison County,414,22,11,1
Mahaska County,531,51,18,4
Marion County,743,28,18,0
Marshall County,3225,857,448,10
Monroe County,219,33,8,3
Polk County,19650,3584,1459,106
Poweshiek County,509,85,66,8
Ringgold County,120,2,0,0
Story County,1901,89,68,1
Tama County,1354,385,218,23
Union County,316,5,1,0
Warren County,1623,102,64,0
Wayne County,98,1,1,0
Butler County,419,15,12,0
Cerro Gordo County,2156,20,14,1
Chickasaw County,314,8,6,0
Floyd County,661,15,8,1
Franklin County,480,7,5,0
Hancock County,397,11,4,0
Hardin County,443,13,9,0
Kossuth County,316,7,2,0
Mitchell County,310,5,4,0
Winnebago County,303,10,7,0
Worth County,255,3,3,0
Wright County,949,87,9,0
Buena Vista County,1562,212,29,0
Calhoun County,241,2,1,0
Cherokee County,342,14,8,0
Clay County,320,10,9,0
Dickinson County,274,8,6,0
Emmet County,228,7,1,0
Hamilton County,863,15,9,0
Humboldt County,257,10,7,0
Ida County,218,8,5,0
Lyon County,238,19,18,0
Monona County,290,20,13,0
O'Brien County,357,24,13,0
Osceola County,164,30,24,0
Palo Alto County,140,3,1,0
Plymouth County,886,102,68,0
Pocahontas County,171,3,2,0
Sac County,361,13,4,0
Sioux County,880,194,96,0
Webster County,1258,25,10,1
Woodbury County,9685,2514,1276,23
Adams County,82,4,0,0
Audubon County,189,11,9,1
Cass County,307,10,1,0
Crawford County,1598,460,249,2
Fremont County,116,4,2,0
Harrison County,364,18,17,0
Mills County,705,14,11,0
Montgomery County,218,5,5,0
Page County,472,10,9,0
Pottawattamie County,2602,202,106,5
Shelby County,263,28,23,0
Taylor County,160,11,1,0
Cedar County,757,44,40,1
Clinton County,1290,61,52,1
Des Moines County,765,54,31,1
Henry County,594,57,41,1
Iowa County,560,32,28,0
Jackson County,443,11,7,0
Jefferson County,304,14,10,0
Johnson County,6174,592,328,7
Keokuk County,276,13,10,0
Lee County,513,20,17,0
Louisa County,998,330,211,7
Muscatine County,2793,541,355,38
Scott County,5307,329,283,9
Van Buren,139,8,8,0
Wapello County,1806,478,156,3
Washington County,1270,179,136,8
Allamakee County,711,118,85,4
Benton County,791,37,31,1
Black Hawk County,8043,1666,957,38
Bremer County,647,66,53,5
Buchanan County,602,31,23,0
Clayton County,531,30,24,3
Delaware County,475,14,12,0
Dubuque County,4295,309,145,16
Fayette County,669,26,25,0
Grundy County,377,20,12,0
Howard County,286,12,10,0
Jones County,617,36,33,0
Linn County,7685,921,767,75
Winneshiek County,626,21,18,0
Pending Investigation,148,9,1,0
