EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair County,256,9,6,0
Appanoose County,489,17,11,3
Boone County,1742,72,41,0
Carroll County,768,16,9,1
Clarke County,563,71,42,0
Dallas County,5470,959,625,26
Davis County,381,28,18,0
Decatur County,245,2,1,0
Greene County,395,14,13,0
Guthrie County,559,55,34,3
Jasper County,2132,271,199,17
Lucas County,291,22,10,2
Madison County,653,29,24,2
Mahaska County,879,99,38,13
Marion County,1125,35,25,0
Marshall County,4116,919,549,18
Monroe County,333,43,26,6
Polk County,29126,4691,2098,143
Poweshiek County,749,90,79,8
Ringgold County,209,4,3,0
Story County,2991,145,86,1
Tama County,1658,415,322,29
Union County,524,11,1,0
Warren County,2611,174,124,1
Wayne County,156,2,1,0
Butler County,885,16,12,1
Cerro Gordo County,2890,34,21,1
Chickasaw County,483,13,8,0
Floyd County,992,31,11,1
Franklin County,692,16,8,0
Hancock County,551,19,8,0
Hardin County,535,31,11,0
Kossuth County,398,16,8,0
Mitchell County,358,4,4,0
Winnebago County,350,11,11,0
Worth County,295,3,3,0
Wright County,1319,236,49,0
Buena Vista County,4235,1115,216,2
Calhoun County,305,12,2,0
Cherokee County,469,46,27,0
Clay County,394,30,14,0
Dickinson County,353,41,14,0
Emmet County,267,28,13,0
Hamilton County,1082,81,24,0
Humboldt County,331,20,16,1
Ida County,307,15,13,0
Lyon County,286,25,19,0
Monona County,379,27,19,0
O'Brien County,442,40,19,0
Osceola County,188,37,30,0
Palo Alto County,161,7,2,0
Plymouth County,1134,153,94,2
Pocahontas County,267,20,2,0
Sac County,569,30,18,0
Sioux County,1238,311,141,0
Webster County,1608,78,31,1
Woodbury County,11259,2909,2112,37
Adams County,121,7,4,0
Audubon County,218,13,9,1
Cass County,385,13,11,0
Crawford County,1938,568,342,2
Fremont County,147,4,2,0
Harrison County,443,26,22,0
Mills County,1218,20,20,0
Montgomery County,328,9,6,2
Page County,604,14,10,0
Pottawattamie County,3169,337,202,10
Shelby County,328,38,34,0
Taylor County,373,66,12,0
Cedar County,859,50,44,1
Clinton County,1600,65,59,1
Des Moines County,942,68,52,2
Henry County,725,74,61,2
Iowa County,691,33,32,0
Jackson County,549,14,8,0
Jefferson County,450,35,13,0
Johnson County,7122,619,447,8
Keokuk County,475,14,13,0
Lee County,663,29,20,0
Louisa County,1069,350,261,11
Muscatine County,3024,566,461,41
Scott County,6799,385,325,10
Van Buren,180,9,9,0
Wapello County,2560,625,358,16
Washington County,1457,195,160,8
Allamakee County,823,120,89,4
Benton County,955,44,33,1
Black Hawk County,9375,1773,1038,50
Bremer County,1133,69,61,6
Buchanan County,752,33,29,1
Clayton County,653,34,29,3
Delaware County,591,19,15,1
Dubuque County,5440,354,208,21
Fayette County,813,29,26,0
Grundy County,460,20,16,0
Howard County,328,12,10,0
Jones County,742,37,36,0
Linn County,9492,978,793,79
Winneshiek County,725,24,24,0
Pending Investigation,0,0,0,0
