EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair County,196,8,3,0
Appanoose County,342,14,8,3
Boone County,1488,57,32,0
Carroll County,558,9,7,0
Clarke County,414,44,16,0
Dallas County,4536,876,558,17
Davis County,301,20,11,0
Decatur County,205,1,0,0
Greene County,316,13,13,0
Guthrie County,467,46,29,3
Jasper County,1839,258,195,16
Lucas County,197,7,1,0
Madison County,473,27,19,1
Mahaska County,715,88,18,8
Marion County,853,30,20,0
Marshall County,3387,882,502,15
Monroe County,260,38,15,5
Polk County,22394,3917,1643,118
Poweshiek County,580,87,71,8
Ringgold County,155,4,1,0
Story County,2313,98,72,1
Tama County,1478,400,274,26
Union County,395,6,1,0
Warren County,1855,115,85,0
Wayne County,118,1,1,0
Butler County,539,15,12,0
Cerro Gordo County,2379,25,15,1
Chickasaw County,344,8,8,0
Floyd County,725,18,10,1
Franklin County,556,10,5,0
Hancock County,465,16,4,0
Hardin County,507,16,9,0
Kossuth County,372,10,3,0
Mitchell County,341,5,4,0
Winnebago County,334,11,9,0
Worth County,276,3,3,0
Wright County,1133,144,18,0
Buena Vista County,3905,700,58,0
Calhoun County,279,2,1,0
Cherokee County,422,24,10,0
Clay County,358,13,10,0
Dickinson County,317,16,6,0
Emmet County,254,12,4,0
Hamilton County,977,29,9,0
Humboldt County,297,15,12,0
Ida County,272,14,9,0
Lyon County,261,19,18,0
Monona County,353,24,16,0
O'Brien County,405,27,15,0
Osceola County,179,32,26,0
Palo Alto County,151,3,2,0
Plymouth County,1024,119,78,1
Pocahontas County,248,10,2,0
Sac County,524,17,8,0
Sioux County,989,212,115,0
Webster County,1427,31,14,1
Woodbury County,10736,2667,1417,32
Adams County,106,7,2,0
Audubon County,209,12,8,1
Cass County,355,11,2,0
Crawford County,1795,488,294,2
Fremont County,129,4,2,0
Harrison County,396,19,17,0
Mills County,1148,16,13,0
Montgomery County,263,6,5,0
Page County,525,11,9,0
Pottawattamie County,2880,228,140,7
Shelby County,291,34,25,0
Taylor County,289,49,2,0
Cedar County,809,46,40,1
Clinton County,1442,60,57,1
Des Moines County,879,61,37,1
Henry County,672,67,50,1
Iowa County,669,35,30,0
Jackson County,509,11,8,0
Jefferson County,370,19,10,0
Johnson County,6717,607,384,8
Keokuk County,394,14,11,0
Lee County,603,24,18,0
Louisa County,1043,337,239,10
Muscatine County,2925,549,388,41
Scott County,5970,348,291,10
Van Buren,164,9,8,0
Wapello County,2227,544,221,4
Washington County,1364,185,149,8
Allamakee County,791,120,88,4
Benton County,901,39,33,1
Black Hawk County,8833,1716,980,43
Bremer County,785,67,58,6
Buchanan County,692,31,25,0
Clayton County,621,31,26,3
Delaware County,562,15,13,0
Dubuque County,5047,331,155,18
Fayette County,751,26,26,0
Grundy County,429,19,12,0
Howard County,309,12,10,0
Jones County,707,36,36,0
Linn County,8690,941,760,76
Winneshiek County,694,23,20,0
Pending Investigation,198,1,0,0
