EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair County,210,9,5,0
Appanoose County,399,15,9,3
Boone County,1564,62,35,0
Carroll County,600,10,8,0
Clarke County,446,55,20,0
Dallas County,4819,900,580,20
Davis County,341,22,12,0
Decatur County,212,1,0,0
Greene County,343,13,13,0
Guthrie County,495,50,30,3
Jasper County,1897,261,197,16
Lucas County,223,17,2,0
Madison County,538,28,20,2
Mahaska County,780,94,24,10
Marion County,957,32,21,0
Marshall County,3473,894,531,16
Monroe County,294,38,18,5
Polk County,24592,4225,1802,126
Poweshiek County,615,88,73,8
Ringgold County,171,4,2,0
Story County,2503,115,77,1
Tama County,1528,403,308,27
Union County,433,8,1,0
Warren County,2030,132,92,0
Wayne County,125,1,1,0
Butler County,652,15,12,1
Cerro Gordo County,2602,29,15,1
Chickasaw County,395,10,8,0
Floyd County,890,19,10,1
Franklin County,587,13,5,0
Hancock County,551,16,5,0
Hardin County,535,17,9,0
Kossuth County,398,9,3,0
Mitchell County,358,4,4,0
Winnebago County,350,11,10,0
Worth County,295,3,3,0
Wright County,1319,167,25,0
Buena Vista County,4235,755,71,0
Calhoun County,305,2,2,0
Cherokee County,469,28,18,0
Clay County,394,16,13,0
Dickinson County,353,21,6,0
Emmet County,267,15,6,0
Hamilton County,1082,37,12,0
Humboldt County,331,17,12,0
Ida County,307,14,11,0
Lyon County,286,23,18,0
Monona County,379,24,16,0
O'Brien County,442,29,16,0
Osceola County,188,33,27,0
Palo Alto County,161,6,2,0
Plymouth County,1134,131,88,2
Pocahontas County,267,11,2,0
Sac County,569,18,12,0
Sioux County,1238,271,127,0
Webster County,1608,39,22,1
Woodbury County,11259,2748,1649,34
Adams County,121,7,3,0
Audubon County,218,12,8,1
Cass County,385,12,9,0
Crawford County,1938,516,310,2
Fremont County,147,4,2,0
Harrison County,443,23,17,0
Mills County,1218,19,13,0
Montgomery County,328,7,5,0
Page County,604,13,10,0
Pottawattamie County,3169,261,160,8
Shelby County,328,37,30,0
Taylor County,373,56,5,0
Cedar County,859,46,42,1
Clinton County,1600,61,57,1
Des Moines County,942,63,45,1
Henry County,725,71,53,1
Iowa County,691,33,31,0
Jackson County,549,12,8,0
Jefferson County,450,27,10,0
Johnson County,7122,613,418,9
Keokuk County,475,15,12,0
Lee County,663,25,18,0
Louisa County,1069,345,252,11
Muscatine County,3024,557,418,41
Scott County,6799,359,301,10
Van Buren,180,9,8,0
Wapello County,2560,589,270,9
Washington County,1457,189,150,8
Allamakee County,823,121,88,4
Benton County,955,43,33,1
Black Hawk County,9375,1744,1000,44
Bremer County,1133,70,59,6
Buchanan County,752,33,27,0
Clayton County,653,35,26,3
Delaware County,591,15,13,0
Dubuque County,5440,343,174,18
Fayette County,813,27,26,0
Grundy County,460,20,14,0
Howard County,328,12,10,0
Jones County,742,36,36,0
Linn County,9492,953,771,77
Winneshiek County,725,24,20,0
Pending Investigation,453,0,0,0
