EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair County,170,6,2,0
Appanoose County,278,8,4,3
Boone County,1321,51,20,0
Carroll County,478,8,6,0
Clarke County,332,29,9,0
Dallas County,4057,824,497,13
Davis County,129,16,10,0
Decatur County,184,0,0,0
Greene County,286,13,14,0
Guthrie County,369,42,27,3
Jasper County,1688,249,188,15
Lucas County,161,4,1,0
Madison County,394,21,11,1
Mahaska County,519,47,17,2
Marion County,719,27,18,0
Marshall County,3203,849,442,9
Monroe County,199,27,4,2
Polk County,19013,3482,1354,92
Poweshiek County,496,86,66,8
Ringgold County,110,2,0,0
Story County,1847,88,63,1
Tama County,1342,383,215,23
Union County,303,4,1,0
Warren County,1573,95,61,0
Wayne County,94,1,1,0
Butler County,388,15,12,0
Cerro Gordo County,1775,20,13,1
Chickasaw County,309,8,6,0
Floyd County,632,15,8,1
Franklin County,455,7,5,0
Hancock County,355,10,3,0
Hardin County,435,13,9,0
Kossuth County,307,7,2,0
Mitchell County,302,5,4,0
Winnebago County,287,10,6,0
Worth County,236,3,2,0
Wright County,908,77,7,0
Buena Vista County,1170,136,26,0
Calhoun County,230,2,1,0
Cherokee County,312,10,8,0
Clay County,296,9,9,0
Dickinson County,267,8,6,0
Emmet County,217,7,1,0
Hamilton County,611,15,9,0
Humboldt County,248,10,7,0
Ida County,196,8,4,0
Lyon County,227,19,18,0
Monona County,281,19,13,0
O'Brien County,347,24,13,0
Osceola County,161,30,22,0
Palo Alto County,138,3,1,0
Plymouth County,845,100,63,0
Pocahontas County,152,3,2,0
Sac County,317,8,4,0
Sioux County,845,182,89,0
Webster County,1220,21,10,1
Woodbury County,9417,2462,1196,23
Adams County,80,3,0,0
Audubon County,181,11,8,1
Cass County,273,6,1,0
Crawford County,1518,440,233,2
Fremont County,109,4,2,0
Harrison County,357,18,17,0
Mills County,613,14,11,0
Montgomery County,216,5,5,0
Page County,466,10,9,0
Pottawattamie County,2488,193,98,4
Shelby County,253,27,22,0
Taylor County,148,5,1,0
Cedar County,749,44,40,1
Clinton County,1256,61,51,1
Des Moines County,745,52,30,1
Henry County,570,54,41,1
Iowa County,546,32,26,0
Jackson County,432,8,7,0
Jefferson County,296,14,8,0
Johnson County,6085,590,320,7
Keokuk County,270,13,10,0
Lee County,501,20,17,0
Louisa County,991,327,209,7
Muscatine County,2773,540,346,35
Scott County,5229,328,283,9
Van Buren,135,8,8,0
Wapello County,1746,459,120,3
Washington County,1217,176,135,8
Allamakee County,696,118,84,4
Benton County,785,37,29,1
Black Hawk County,7945,1661,930,37
Bremer County,640,65,53,5
Buchanan County,597,31,23,0
Clayton County,520,30,24,3
Delaware County,461,14,12,0
Dubuque County,4102,304,143,16
Fayette County,659,25,25,0
Grundy County,376,20,12,0
Howard County,281,12,10,0
Jones County,608,36,33,0
Linn County,7568,915,740,74
Winneshiek County,618,21,18,0
Pending Investigation,311,3,0,0
