EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,256,9,6,0
Appanoose,489,17,11,3
Boone,1742,72,41,0
Carroll,768,16,9,1
Clarke,563,71,42,0
Dallas,5470,959,625,26
Davis,381,28,18,0
Decatur,245,2,1,0
Greene,395,14,13,0
Guthrie,559,55,34,3
Jasper,2132,271,199,17
Lucas,291,22,10,2
Madison,653,29,24,2
Mahaska,879,99,38,13
Marion,1125,35,25,0
Marshall,4116,919,549,18
Monroe,333,43,26,6
Polk,29126,4691,2098,143
Poweshiek,749,90,79,8
Ringgold,209,4,3,0
Story,2991,145,86,1
Tama,1658,415,322,29
Union,524,11,1,0
Warren,2611,174,124,1
Wayne,156,2,1,0
Butler,885,16,12,1
Cerro Gordo,2890,34,21,1
Chickasaw,483,13,8,0
Floyd,992,31,11,1
Franklin,692,16,8,0
Hancock,551,19,8,0
Hardin,535,31,11,0
Kossuth,398,16,8,0
Mitchell,358,4,4,0
Winnebago,350,11,11,0
Worth,295,3,3,0
Wright,1319,236,49,0
Buena Vista,4235,1115,216,2
Calhoun,305,12,2,0
Cherokee,469,46,27,0
Clay,394,30,14,0
Dickinson,353,41,14,0
Emmet,267,28,13,0
Hamilton,1082,81,24,0
Humboldt,331,20,16,1
Ida,307,15,13,0
Lyon,286,25,19,0
Monona,379,27,19,0
O'Brien,442,40,19,0
Osceola,188,37,30,0
Palo Alto,161,7,2,0
Plymouth,1134,153,94,2
Pocahontas,267,20,2,0
Sac,569,30,18,0
Sioux,1238,311,141,0
Webster,1608,78,31,1
Woodbury,11259,2909,2112,37
Adams,121,7,4,0
Audubon,218,13,9,1
Cass,385,13,11,0
Crawford,1938,568,342,2
Fremont,147,4,2,0
Harrison,443,26,22,0
Mills,1218,20,20,0
Montgomery,328,9,6,2
Page,604,14,10,0
Pottawattamie,3169,337,202,10
Shelby,328,38,34,0
Taylor,373,66,12,0
Cedar,859,50,44,1
Clinton,1600,65,59,1
Des Moines,942,68,52,2
Henry,725,74,61,2
Iowa,691,33,32,0
Jackson,549,14,8,0
Jefferson,450,35,13,0
Johnson,7122,619,447,8
Keokuk,475,14,13,0
Lee,663,29,20,0
Louisa,1069,350,261,11
Muscatine,3024,566,461,41
Scott,6799,385,325,10
Van Buren,180,9,9,0
Wapello,2560,625,358,16
Washington,1457,195,160,8
Allamakee,823,120,89,4
Benton,955,44,33,1
Black Hawk,9375,1773,1038,50
Bremer,1133,69,61,6
Buchanan,752,33,29,1
Clayton,653,34,29,3
Delaware,591,19,15,1
Dubuque,5440,354,208,21
Fayette,813,29,26,0
Grundy,460,20,16,0
Howard,328,12,10,0
Jones,742,37,36,0
Linn,9492,978,793,79
Winneshiek,725,24,24,0
Pending Investigation,0,0,0,0
