EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair County,118,5,2,0
Appanoose County,221,8,2,3
Boone County,1114,42,18,0
Carroll County,394,8,2,0
Clarke County,224,17,4,0
Dallas County,3510,776,390,11
Davis County,96,13,3,0
Decatur County,147,0,0,0
Greene County,246,13,9,0
Guthrie County,315,37,15,2
Jasper County,1525,247,177,12
Lucas County,122,1,0,0
Madison County,304,16,9,1
Mahaska County,393,24,16,1
Marion County,575,21,13,0
Marshall County,2952,794,394,5
Monroe County,150,19,3,1
Polk County,15312,2922,1001,79
Poweshiek County,435,86,57,8
Ringgold County,87,0,0,0
Story County,1514,75,56,1
Tama County,1232,356,195,17
Union County,242,2,1,0
Warren County,1227,72,39,0
Wayne County,75,1,1,0
Butler County,309,14,12,0
Cerro Gordo County,1425,18,12,0
Chickasaw County,262,7,6,0
Floyd County,539,11,2,1
Franklin County,417,7,3,0
Hancock County,264,5,2,0
Hardin County,384,12,7,0
Kossuth County,261,3,2,0
Mitchell County,273,4,3,0
Winnebago County,227,6,4,0
Worth County,204,3,1,0
Wright County,703,14,3,0
Buena Vista County,801,102,13,0
Calhoun County,186,1,0,0
Cherokee County,249,9,3,0
Clay County,247,9,8,0
Dickinson County,230,6,6,0
Emmet County,177,1,0,0
Hamilton County,529,11,7,0
Humboldt County,195,7,6,0
Ida County,147,3,1,0
Lyon County,208,19,15,0
Monona County,231,15,12,0
O'Brien County,303,22,9,0
Osceola County,145,26,15,0
Palo Alto County,111,2,1,0
Plymouth County,637,83,42,0
Pocahontas County,112,3,2,0
Sac County,224,4,2,0
Sioux County,695,135,40,0
Webster County,1042,13,6,1
Woodbury County,8121,2215,913,16
Adams County,63,1,0,0
Audubon County,124,11,6,1
Cass County,218,2,1,0
Crawford County,1070,380,147,1
Fremont County,93,3,1,0
Harrison County,306,17,17,0
Mills County,282,10,5,0
Montgomery County,195,6,4,0
Page County,431,10,8,0
Pottawattamie County,2014,161,67,2
Shelby County,203,21,16,0
Taylor County,127,2,1,0
Cedar County,585,42,36,1
Clinton County,1080,61,43,1
Des Moines County,555,37,22,1
Henry County,492,47,37,1
Iowa County,470,29,23,0
Jackson County,366,8,7,0
Jefferson County,241,12,7,0
Johnson County,5460,569,273,7
Keokuk County,227,11,8,0
Lee County,409,18,15,0
Louisa County,924,307,190,3
Muscatine County,2552,532,313,33
Scott County,4305,307,259,8
Van Buren,113,8,8,0
Wapello County,1269,379,12,2
Washington County,1040,172,130,8
Allamakee County,662,114,81,4
Benton County,654,36,25,1
Black Hawk County,6962,1587,873,30
Bremer County,546,64,50,5
Buchanan County,501,26,20,0
Clayton County,435,28,21,3
Delaware County,394,12,10,0
Dubuque County,3675,264,120,10
Fayette County,574,25,18,0
Grundy County,327,17,12,0
Howard County,252,12,10,0
Jones County,503,36,21,0
Linn County,6552,896,658,70
Winneshiek County,538,18,17,0
Pending Investigation,73,8,1,0
