EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair County,163,6,2,0
Appanoose County,265,8,4,3
Boone County,1284,49,20,0
Carroll County,468,7,6,0
Clarke County,306,24,7,0
Dallas County,3931,809,484,12
Davis County,125,15,7,0
Decatur County,178,0,0,0
Greene County,266,13,13,0
Guthrie County,353,42,27,3
Jasper County,1655,251,188,14
Lucas County,149,3,1,0
Madison County,372,20,11,1
Mahaska County,508,46,16,2
Marion County,692,25,15,0
Marshall County,3126,832,434,7
Monroe County,184,22,4,2
Polk County,18112,3338,1276,90
Poweshiek County,488,88,65,8
Ringgold County,105,1,0,0
Story County,1773,85,61,1
Tama County,1310,376,209,21
Union County,291,5,1,0
Warren County,1499,90,55,0
Wayne County,88,1,1,0
Butler County,372,14,12,0
Cerro Gordo County,1663,19,13,0
Chickasaw County,299,8,6,0
Floyd County,613,11,3,1
Franklin County,444,7,5,0
Hancock County,345,9,3,0
Hardin County,426,13,8,0
Kossuth County,297,7,2,0
Mitchell County,293,4,3,0
Winnebago County,272,9,5,0
Worth County,229,3,2,0
Wright County,856,65,6,0
Buena Vista County,1118,130,24,0
Calhoun County,224,2,0,0
Cherokee County,303,10,6,0
Clay County,284,9,9,0
Dickinson County,260,8,6,0
Emmet County,211,6,1,0
Hamilton County,572,13,8,0
Humboldt County,237,7,7,0
Ida County,182,8,3,0
Lyon County,218,19,18,0
Monona County,268,18,13,0
O'Brien County,335,23,13,0
Osceola County,160,30,20,0
Palo Alto County,130,2,1,0
Plymouth County,784,96,58,0
Pocahontas County,143,3,2,0
Sac County,302,7,4,0
Sioux County,825,178,71,0
Webster County,1169,20,10,1
Woodbury County,9199,2412,1128,22
Adams County,79,3,0,0
Audubon County,179,11,8,1
Cass County,266,4,1,0
Crawford County,1459,419,214,1
Fremont County,106,4,2,0
Harrison County,347,18,17,0
Mills County,546,13,10,0
Montgomery County,210,5,5,0
Page County,458,10,9,0
Pottawattamie County,2418,185,89,3
Shelby County,243,24,20,0
Taylor County,145,5,1,0
Cedar County,670,44,40,1
Clinton County,1197,61,51,1
Des Moines County,713,49,26,1
Henry County,551,49,40,1
Iowa County,535,32,26,0
Jackson County,418,8,7,0
Jefferson County,286,13,8,0
Johnson County,5943,584,317,7
Keokuk County,267,13,9,0
Lee County,485,20,17,0
Louisa County,980,324,206,6
Muscatine County,2703,539,339,35
Scott County,4970,320,279,8
Van Buren,129,8,8,0
Wapello County,1589,418,107,3
Washington County,1189,173,135,8
Allamakee County,698,116,83,4
Benton County,759,36,29,1
Black Hawk County,7710,1645,922,37
Bremer County,615,65,53,5
Buchanan County,575,30,23,0
Clayton County,499,30,24,3
Delaware County,441,13,11,0
Dubuque County,4019,299,138,13
Fayette County,636,25,25,0
Grundy County,366,19,12,0
Howard County,270,12,10,0
Jones County,580,36,32,0
Linn County,7306,904,723,73
Winneshiek County,606,20,18,0
Pending Investigation,14,2,1,0
