EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,103,4,2,0
Appanoose,209,7,2,3
Boone,888,41,18,0
Carroll,367,8,2,0
Clarke,216,14,3,0
Dallas,3427,773,360,10
Davis,93,13,3,0
Decatur,143,0,0,0
Greene,236,13,9,0
Guthrie,304,37,15,2
Jasper,1475,242,175,12
Lucas,119,0,0,0
Madison,293,16,9,1
Mahaska,378,23,15,1
Marion,550,20,13,0
Marshall,2867,778,385,5
Monroe,141,19,3,1
Polk,14822,2845,952,78
Poweshiek,423,85,57,8
Ringgold,83,0,0,0
Story,1474,75,52,1
Tama,1209,354,191,16
Union,233,2,1,0
Warren,1126,66,39,0
Wayne,71,1,1,0
Butler,293,13,12,0
Cerro Gordo,1383,17,12,0
Chickasaw,256,7,4,0
Floyd,528,11,2,1
Franklin,405,7,2,0
Hancock,243,3,2,0
Hardin,373,12,6,0
Kossuth,256,2,2,0
Mitchell,270,4,3,0
Winnebago,220,6,4,0
Worth,194,3,1,0
Wright,688,8,3,0
Buena Vista,507,82,13,0
Calhoun,184,1,0,0
Cherokee,237,9,3,0
Clay,246,10,8,0
Dickinson,227,6,6,0
Emmet,171,1,0,0
Hamilton,517,11,7,0
Humboldt,192,7,6,0
Ida,132,3,1,0
Lyon,200,16,15,0
Monona,208,15,11,0
O'Brien,300,22,9,0
Osceola,145,26,13,0
Palo Alto,111,2,1,0
Plymouth,593,82,38,0
Pocahontas,107,3,2,0
Sac,209,4,2,0
Sioux,667,131,36,0
Webster,1016,13,6,1
Woodbury,7703,2157,871,16
Adams,59,0,0,0
Audubon,119,11,6,1
Cass,209,1,1,0
Crawford,846,348,147,1
Fremont,92,3,1,0
Harrison,290,17,17,0
Mills,275,10,5,0
Montgomery,191,6,4,0
Page,418,10,8,0
Pottawattamie,1947,150,65,2
Shelby,183,20,16,0
Taylor,122,1,1,0
Cedar,572,42,36,1
Clinton,1025,60,42,1
Des Moines,537,37,22,1
Henry,480,44,35,1
Iowa,452,28,23,0
Jackson,357,8,4,0
Jefferson,235,12,7,0
Johnson,5378,567,268,7
Keokuk,224,10,7,0
Lee,396,18,15,0
Louisa,916,306,188,3
Muscatine,2520,524,311,32
Scott,4160,301,254,8
Van Buren,110,8,8,0
Wapello,1181,360,11,2
Washington,1029,170,129,8
Allamakee,651,116,80,4
Benton,584,36,24,1
Black Hawk,6636,1571,852,29
Bremer,530,64,50,5
Buchanan,474,26,20,0
Clayton,397,28,21,3
Delaware,383,12,10,0
Dubuque,3535,258,102,9
Fayette,508,25,15,0
Grundy,313,17,12,0
Howard,243,12,10,0
Jones,473,36,21,0
Linn,6266,892,654,70
Winneshiek,525,18,17,0
Pending Investigation,428,428,1,0
