EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair County,148,6,2,0
Appanoose County,252,8,2,3
Boone County,1259,48,19,0
Carroll County,449,7,6,0
Clarke County,285,23,7,0
Dallas County,3780,800,472,11
Davis County,112,13,6,0
Decatur County,169,0,0,0
Greene County,259,13,13,0
Guthrie County,338,40,26,3
Jasper County,1623,251,185,14
Lucas County,142,3,1,0
Madison County,352,20,11,1
Mahaska County,484,44,16,2
Marion County,664,23,15,0
Marshall County,3086,823,422,7
Monroe County,179,22,4,2
Polk County,17365,3216,1217,85
Poweshiek County,471,88,63,8
Ringgold County,97,1,0,0
Story County,1697,82,61,1
Tama County,1288,367,206,21
Union County,273,3,1,0
Warren County,1418,87,53,0
Wayne County,83,1,1,0
Butler County,354,14,12,0
Cerro Gordo County,1567,20,13,0
Chickasaw County,289,8,6,0
Floyd County,582,11,3,1
Franklin County,437,7,3,0
Hancock County,285,5,2,0
Hardin County,414,12,8,0
Kossuth County,283,5,2,0
Mitchell County,287,4,3,0
Winnebago County,256,7,4,0
Worth County,224,3,2,0
Wright County,745,25,6,0
Buena Vista County,933,123,20,0
Calhoun County,203,2,0,0
Cherokee County,268,9,6,0
Clay County,263,9,9,0
Dickinson County,246,8,6,0
Emmet County,201,6,1,0
Hamilton County,554,11,8,0
Humboldt County,227,7,7,0
Ida County,161,8,2,0
Lyon County,214,19,18,0
Monona County,253,18,13,0
O'Brien County,323,21,13,0
Osceola County,155,29,18,0
Palo Alto County,125,2,1,0
Plymouth County,733,89,58,0
Pocahontas County,128,3,2,0
Sac County,256,7,3,0
Sioux County,770,153,65,0
Webster County,1122,16,10,1
Woodbury County,8933,2352,1077,18
Adams County,71,1,0,0
Audubon County,137,11,8,1
Cass County,254,3,1,0
Crawford County,1354,408,202,1
Fremont County,103,4,1,0
Harrison County,330,18,17,0
Mills County,486,12,9,0
Montgomery County,202,5,5,0
Page County,447,10,9,0
Pottawattamie County,2150,177,88,3
Shelby County,230,25,19,0
Taylor County,136,4,1,0
Cedar County,641,41,40,1
Clinton County,1164,61,51,1
Des Moines County,678,42,25,1
Henry County,533,49,41,1
Iowa County,515,31,26,0
Jackson County,399,8,7,0
Jefferson County,272,13,8,0
Johnson County,5756,578,313,7
Keokuk County,262,13,9,0
Lee County,464,20,17,0
Louisa County,967,317,203,4
Muscatine County,2646,535,329,34
Scott County,4783,312,277,8
Van Buren,127,8,8,0
Wapello County,1535,415,77,2
Washington County,1108,173,133,8
Allamakee County,688,116,83,4
Benton County,735,36,29,1
Black Hawk County,7549,1634,904,34
Bremer County,592,65,53,5
Buchanan County,551,28,23,0
Clayton County,488,30,24,3
Delaware County,425,12,10,0
Dubuque County,3919,291,135,11
Fayette County,623,25,23,0
Grundy County,354,17,12,0
Howard County,265,12,10,0
Jones County,549,36,32,0
Linn County,6988,899,718,72
Winneshiek County,596,21,18,0
Pending Investigation,62,3,1,0
