EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,44449,5680,2781,171
Linn,17193,1136,886,80
Woodbury,15258,3095,2641,43
Black Hawk,13651,1937,1187,56
Johnson,12646,884,521,9
Scott,11027,496,391,10
Dallas,8705,1097,696,29
Dubuque,8642,471,245,22
Pottawattamie,8153,648,449,11
Buena Vista,6782,1675,552,10
Story,6334,571,149,3
Marshall,5271,990,615,18
Muscatine,4123,595,512,43
Warren,4060,220,186,2
Wapello,3954,693,609,28
Cerro Gordo,3918,68,30,1
Webster,3820,136,91,1
Jasper,2815,305,212,17
Clinton,2800,80,67,1
Crawford,2715,648,382,2
Sioux,2664,431,204,0
Wright,2475,353,142,0
Des Moines,2460,80,62,2
Plymouth,2400,270,190,4
Boone,2347,122,77,1
Washington,2091,218,187,9
Tama,2052,433,353,29
Bremer,2046,85,70,6
Pending Investigation,1960,5,1,0
Mills,1820,32,25,0
Hamilton,1778,174,112,0
Benton,1719,54,42,1
Dickinson,1699,229,92,2
Marion,1683,50,35,0
Lee,1666,44,33,1
Carroll,1617,70,50,1
Fayette,1550,30,28,0
Buchanan,1534,42,31,1
Floyd,1530,50,22,1
Henry,1502,80,70,3
Iowa,1500,40,33,0
Hardin,1464,55,22,0
Cedar,1442,68,50,1
Clay,1369,113,73,0
Louisa,1353,355,289,13
Butler,1340,37,27,2
Jones,1263,48,41,0
Winneshiek,1259,25,24,0
Clayton,1258,35,31,3
Mahaska,1241,114,90,16
Allamakee,1141,121,90,4
Sac,1130,50,36,0
Delaware,1118,36,28,1
Page,1092,20,17,0
Franklin,1086,67,26,0
Madison,1077,35,30,2
Kossuth,1068,31,14,0
Jefferson,1062,50,38,0
Poweshiek,1058,98,85,8
Hancock,1030,40,27,0
Jackson,1028,21,13,0
O'Brien,988,78,41,1
Grundy,977,26,17,0
Union,954,17,7,0
Cherokee,935,69,55,0
Clarke,916,113,69,2
Chickasaw,906,21,15,0
Guthrie,902,63,48,4
Harrison,899,46,41,0
Calhoun,863,29,18,0
Shelby,831,92,50,0
Mitchell,804,9,5,0
Humboldt,777,44,31,1
Appanoose,767,20,16,3
Emmet,751,66,31,0
Greene,728,28,19,0
Montgomery,715,10,7,2
Cass,708,16,16,0
Keokuk,704,18,14,1
Monona,703,66,23,0
Palo Alto,696,24,19,0
Winnebago,690,20,12,0
Pocahontas,615,42,8,1
Howard,604,14,10,0
Taylor,600,76,23,0
Ida,600,21,18,0
Lyon,557,37,33,0
Davis,531,36,25,1
Monroe,478,51,42,6
Worth,460,8,5,0
Lucas,423,29,18,3
Ringgold,412,12,8,0
Decatur,408,9,7,0
Adair,391,14,11,0
Van Buren,348,17,12,0
Fremont,343,6,2,0
Osceola,335,49,45,0
Audubon,314,15,11,1
Wayne,284,7,3,0
Adams,233,7,5,0
