EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,126326,15380,11923,259
Linn,48255,3813,2957,108
Johnson,38165,5025,2830,27
Scott,35379,2823,2064,27
Black Hawk,33562,4382,3491,86
Story,29027,3315,1735,17
Woodbury,28901,5041,3960,63
Dubuque,28179,2859,1906,41
Dallas,24587,2699,2123,38
Pottawattamie,20309,2002,1632,38
Warren,12029,933,678,6
Webster,11524,1204,725,14
Cerro Gordo,10984,1007,726,21
Marshall,10644,1763,1560,34
Clinton,9300,1077,722,19
Buena Vista,9049,1952,1808,12
Muscatine,9027,1069,887,54
Des Moines,8401,740,479,7
Wapello,7921,1275,1145,57
Jasper,7409,777,513,32
Sioux,6873,1376,839,3
Marion,6562,728,584,5
Plymouth,6218,1058,643,20
Boone,5978,480,320,8
Lee,5968,603,337,7
Carroll,5377,639,316,5
Bremer,5003,469,265,7
Dickinson,4981,486,401,6
Benton,4948,288,183,1
Crawford,4862,1014,801,5
Henry,4776,622,217,4
Washington,4633,435,329,11
Mahaska,4621,355,247,19
Tama,4224,694,600,31
Wright,4212,564,494,1
Buchanan,4202,252,164,1
Winneshiek,3915,303,222,5
Fayette,3853,201,128,2
Floyd,3730,305,250,3
Jackson,3707,308,192,3
Iowa,3696,193,106,1
Jones,3687,248,159,3
Delaware,3680,348,284,3
Cedar,3645,224,146,1
Clay,3540,296,231,3
Hamilton,3517,315,257,3
Hardin,3514,284,213,1
Mills,3490,169,119,1
Poweshiek,3376,253,190,8
Madison,3327,207,157,2
Kossuth,3248,233,116,0
Butler,3163,262,234,2
Clayton,3106,235,205,3
Union,2948,122,86,3
Winnebago,2875,277,142,12
O'Brien,2789,313,177,9
Allamakee,2787,250,164,6
Grundy,2672,207,118,2
Jefferson,2671,134,108,1
Mitchell,2668,183,90,0
Page,2561,142,138,0
Guthrie,2558,231,159,5
Harrison,2545,181,154,2
Cherokee,2508,204,134,2
Sac,2493,221,103,0
Chickasaw,2490,225,186,0
Hancock,2469,174,155,2
Appanoose,2458,125,105,3
Franklin,2446,344,283,18
Cass,2428,136,118,2
Louisa,2420,425,371,15
Calhoun,2374,173,123,2
Shelby,2254,245,232,1
Clarke,2193,256,221,3
Humboldt,2140,176,104,3
Pending Investigation,2113,9,0,0
Emmet,2084,252,207,10
Palo Alto,2029,164,104,0
Howard,1951,182,113,6
Greene,1849,91,49,0
Montgomery,1826,90,80,5
Lyon,1708,265,169,3
Monona,1676,140,105,1
Pocahontas,1624,154,119,2
Keokuk,1623,93,47,1
Worth,1577,103,76,0
Lucas,1536,153,79,6
Adair,1488,67,45,1
Decatur,1422,61,39,0
Ida,1416,104,38,0
Monroe,1316,150,86,10
Davis,1217,117,74,4
Taylor,1190,125,111,1
Van Buren,1153,111,48,1
Ringgold,1071,45,37,2
Fremont,1063,90,55,0
Audubon,1048,69,35,1
Wayne,1048,84,60,2
Osceola,885,134,94,0
Adams,598,29,25,0
