EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,187932,30903,18711,322
Linn,82340,13129,5416,154
Scott,58948,10101,4630,75
Johnson,56376,8974,5807,35
Black Hawk,50104,10174,5537,126
Woodbury,43450,9835,7168,111
Dubuque,42650,8621,5142,90
Story,39739,6335,3982,19
Dallas,36880,5875,3394,55
Pottawattamie,32762,5674,3295,65
Warren,18855,2502,1248,10
Cerro Gordo,17011,3221,1344,41
Webster,16308,3288,1832,27
Marshall,15045,3266,1981,41
Clinton,15036,3000,1458,37
Des Moines,14822,2653,1381,16
Muscatine,14779,2645,1404,64
Jasper,11905,2001,1072,39
Buena Vista,11458,2893,2245,14
Wapello,11451,2382,1512,71
Sioux,11425,3482,2422,25
Lee,10823,1868,941,15
Marion,10333,1900,1041,18
Plymouth,9662,2569,1635,37
Benton,9008,1557,574,13
Boone,8990,1269,708,11
Carroll,8411,1878,1127,20
Bremer,8230,1749,664,12
Washington,8104,1258,645,13
Pending Investigation,7895,569,1,0
Henry,7637,1685,1061,7
Dickinson,7408,1259,728,10
Jones,7317,2192,441,11
Mahaska,7118,1179,671,27
Crawford,6671,1675,1345,15
Buchanan,6636,1068,447,9
Winneshiek,6614,887,524,10
Fayette,6253,945,372,8
Cedar,6252,982,452,13
Jackson,6247,1339,632,8
Tama,6144,1446,900,40
Wright,5946,1138,736,5
Poweshiek,5923,905,476,12
Hardin,5855,1050,468,10
Iowa,5799,862,389,11
Delaware,5758,1342,771,21
Clay,5740,1041,525,4
Mills,5623,965,396,6
Floyd,5495,922,476,14
Kossuth,5329,921,469,4
Hamilton,5204,982,503,7
Jefferson,5071,609,238,1
Madison,4984,635,359,4
Butler,4893,891,448,3
Clayton,4839,999,436,4
Union,4773,680,264,6
O'Brien,4669,1180,658,28
Harrison,4452,1002,632,28
Winnebago,4446,872,475,23
Page,4434,1070,431,4
Cass,4310,733,479,19
Allamakee,4113,709,362,11
Appanoose,4083,714,232,6
Hancock,4070,791,338,7
Calhoun,4069,978,354,7
Cherokee,4032,743,398,4
Grundy,4024,770,302,10
Mitchell,3988,707,276,4
Guthrie,3963,687,378,15
Sac,3905,759,392,7
Louisa,3896,794,502,16
Chickasaw,3784,781,582,3
Shelby,3594,709,437,4
Franklin,3578,673,397,19
Emmet,3410,698,411,23
Humboldt,3396,647,333,5
Palo Alto,3238,603,314,4
Clarke,3154,454,341,4
Lyon,3143,937,539,8
Greene,3019,483,187,0
Howard,2993,498,260,9
Montgomery,2849,415,202,10
Keokuk,2757,522,157,7
Monona,2632,390,241,2
Pocahontas,2622,507,223,2
Adair,2531,405,169,6
Worth,2487,333,145,0
Lucas,2430,302,197,6
Decatur,2300,295,151,0
Ida,2197,427,192,10
Monroe,2137,417,249,12
Davis,2134,420,176,4
Fremont,1874,341,206,2
Van Buren,1863,329,176,4
Taylor,1826,415,234,2
Audubon,1754,280,142,1
Osceola,1752,493,288,1
Ringgold,1674,176,94,2
Wayne,1591,282,132,6
Adams,1070,151,79,1
