EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,149246,18140,15448,283
Linn,60207,5133,3863,127
Johnson,44815,5669,5018,30
Scott,44108,4113,2912,37
Black Hawk,39880,5283,4345,96
Woodbury,36364,6861,5265,93
Dubuque,34688,4781,3087,54
Story,32795,3879,3377,18
Dallas,29368,3319,2719,43
Pottawattamie,25686,3009,2213,44
Warren,14562,1163,949,6
Webster,13798,1731,1248,14
Cerro Gordo,12931,1271,1025,23
Marshall,12519,1941,1738,36
Clinton,11403,1373,1078,26
Muscatine,11258,1362,1039,58
Des Moines,11005,1253,769,9
Buena Vista,10129,2212,1958,12
Jasper,9333,1031,792,34
Wapello,9306,1481,1372,62
Sioux,9246,2308,1530,14
Lee,8135,896,619,9
Marion,8019,939,853,10
Plymouth,7807,1553,1091,26
Boone,7307,684,494,9
Carroll,6764,1044,642,10
Benton,6547,524,308,1
Bremer,6141,628,476,9
Washington,6082,613,451,11
Dickinson,6024,696,503,7
Henry,5981,991,683,5
Crawford,5915,1324,1047,12
Mahaska,5809,641,408,24
Buchanan,5141,406,265,3
Winneshiek,5073,449,352,9
Tama,5071,910,707,37
Pending Investigation,4979,5,0,0
Wright,4962,696,575,1
Fayette,4790,346,213,2
Jackson,4712,541,333,3
Jones,4682,415,264,3
Cedar,4679,408,244,5
Poweshiek,4598,435,313,11
Iowa,4580,385,200,8
Delaware,4551,700,520,9
Clay,4462,495,308,4
Hardin,4412,440,294,5
Mills,4388,346,179,1
Floyd,4342,419,379,11
Hamilton,4212,452,398,3
Kossuth,4159,436,261,0
Madison,4085,344,214,2
Butler,3825,349,319,2
Clayton,3702,354,303,3
Union,3682,216,188,4
O'Brien,3572,582,346,14
Harrison,3567,591,228,8
Winnebago,3473,448,290,17
Cass,3432,340,241,2
Page,3366,364,274,0
Jefferson,3317,204,135,1
Allamakee,3279,335,248,8
Cherokee,3255,374,245,2
Grundy,3173,284,220,4
Sac,3152,372,246,4
Guthrie,3118,373,233,15
Mitchell,3105,235,188,0
Appanoose,3048,206,134,3
Louisa,3012,496,412,15
Calhoun,2988,275,228,4
Hancock,2966,288,232,4
Chickasaw,2905,327,311,1
Shelby,2813,351,306,1
Franklin,2791,375,338,18
Humboldt,2687,300,224,3
Emmet,2664,406,264,14
Clarke,2650,317,255,3
Palo Alto,2497,291,188,2
Greene,2440,178,100,0
Lyon,2416,520,290,7
Howard,2384,257,179,9
Montgomery,2227,158,139,5
Monona,2193,233,160,1
Pocahontas,2006,213,156,2
Keokuk,1958,143,108,1
Lucas,1943,189,152,6
Adair,1918,144,67,1
Worth,1914,133,104,0
Decatur,1852,133,63,0
Ida,1744,181,118,2
Monroe,1709,246,146,11
Davis,1543,158,120,4
Fremont,1496,184,111,1
Taylor,1485,225,152,2
Van Buren,1405,163,108,2
Audubon,1398,134,76,1
Ringgold,1354,82,63,2
Wayne,1309,112,94,3
Osceola,1300,251,153,0
Adams,810,70,36,0
