EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,0,2,0,0
Appanoose,0,4,0,3
Boone,0,28,0,0
Carroll,0,5,0,0
Clarke,0,3,0,0
Dallas,0,613,0,3
Davis,0,4,0,0
Decatur,0,0,0,0
Greene,0,11,0,0
Guthrie,0,31,0,0
Jasper,0,219,0,3
Lucas,0,0,0,0
Madison,0,9,0,1
Mahaska,0,18,0,1
Marion,0,12,0,0
Marshall,0,647,0,2
Monroe,0,1,0,0
Polk,0,1778,0,42
Poweshiek,0,73,0,5
Ringgold,0,0,0,0
Story,0,39,0,1
Tama,0,297,0,11
Union,0,1,0,0
Warren,0,28,0,0
Wayne,0,1,0,0
Cerro,0,14,0,0
Chickasaw,0,6,0,0
Floyd,0,1,0,0
Franklin,0,5,0,0
Hancock,0,3,0,0
Hardin,0,9,0,0
Kossuth,0,2,0,0
Mitchell,0,3,0,0
Winnebago,0,3,0,0
Worth,0,1,0,0
Wright,0,4,0,0
Calhoun,0,1,0,0
Cherokee,0,4,0,0
Clay,0,7,0,0
Dickinson,0,6,0,0
Emmet,0,0,0,0
Hamilton,0,7,0,0
Humboldt,0,4,0,0
Ida,0,0,0,0
Lyon,0,15,0,0
Monona,0,10,0,0
O'Brien,0,11,0,0
Osceola,0,13,0,0
Palo,0,0,0,0
Plymouth,0,33,0,0
Pocahontas,0,3,0,0
Sac,0,1,0,0
Sioux,0,24,0,0
Webster,0,6,0,0
Woodbury,0,1296,0,3
Audubon,0,8,0,0
Cass,0,1,0,0
Crawford,0,96,1,1
Fremont,0,0,0,0
Harrison,0,17,0,0
Mills,0,3,0,0
Montgomery,0,1,0,0
Page,0,9,0,0
Pottawattamie,0,61,0,2
Shelby,0,14,0,0
Taylor,0,1,0,0
Clinton,0,51,0,0
Des,0,21,0,1
Henry,0,37,0,1
Iowa,0,22,0,0
Jackson,0,5,0,0
Jefferson,0,6,0,0
Johnson,0,518,0,6
Keokuk,0,3,0,0
Lee,0,16,0,0
Louisa,0,279,0,2
Muscatine,0,415,0,16
Scott,0,255,0,7
Van,0,8,0,0
Wapello,0,108,0,1
Washington,0,149,0,7
Benton,0,34,0,1
Black,0,1392,0,18
Bremer,0,55,0,5
Buchanan,0,22,0,0
Clayton,0,19,0,1
Delaware,0,8,0,0
Dubuque,0,156,0,5
Fayette,0,23,0,0
Grundy,0,17,0,0
Howard,0,12,0,0
Jones,0,25,0,0
Linn,0,767,0,53
Winneshiek,0,18,0,0
