EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,140245,16844,14380,272
Linn,55274,4577,3448,117
Johnson,42234,5404,4743,29
Scott,40420,3462,2506,29
Black Hawk,37299,4802,4079,95
Woodbury,33965,6215,4508,76
Dubuque,32343,3960,2410,47
Story,31345,3661,3086,17
Dallas,27429,3035,2537,40
Pottawattamie,23165,2498,1931,43
Warren,13558,1023,895,6
Webster,13065,1541,1205,14
Cerro Gordo,12211,1168,943,23
Marshall,11900,1857,1711,36
Clinton,10582,1242,969,24
Muscatine,10405,1201,983,56
Des Moines,9752,962,677,9
Buena Vista,9736,2113,1882,12
Wapello,8780,1408,1301,58
Jasper,8673,944,649,34
Sioux,8552,2006,1085,7
Lee,7504,749,549,9
Marion,7467,844,768,9
Plymouth,7254,1335,895,24
Boone,6871,590,405,8
Carroll,6284,863,525,5
Benton,5931,390,244,1
Bremer,5730,544,421,7
Dickinson,5685,621,441,7
Washington,5634,545,394,11
Henry,5626,886,464,5
Crawford,5566,1194,888,9
Mahaska,5357,488,341,21
Buchanan,4788,336,209,1
Tama,4772,831,692,34
Wright,4756,641,547,1
Winneshiek,4624,371,287,9
Fayette,4469,276,168,2
Jackson,4306,434,260,3
Iowa,4300,293,160,1
Cedar,4258,293,201,3
Jones,4252,334,213,3
Delaware,4228,550,450,4
Pending Investigation,4223,5,0,0
Clay,4136,413,253,4
Poweshiek,4134,373,252,10
Floyd,4131,388,349,9
Hardin,4107,338,261,2
Mills,4031,254,147,1
Hamilton,3936,373,326,3
Kossuth,3867,360,183,0
Madison,3791,285,191,2
Butler,3572,309,273,2
Clayton,3484,306,267,3
Union,3372,175,115,3
O'Brien,3329,493,252,9
Winnebago,3225,359,224,15
Harrison,3174,407,188,5
Cass,3091,212,179,2
Page,3084,266,209,0
Jefferson,3083,165,128,1
Cherokee,3079,320,166,2
Allamakee,3075,289,215,8
Grundy,2974,252,171,4
Mitchell,2967,205,164,0
Sac,2932,322,145,1
Guthrie,2930,321,194,12
Appanoose,2822,169,133,3
Calhoun,2799,234,196,3
Louisa,2785,456,391,15
Hancock,2782,239,206,3
Chickasaw,2779,304,286,1
Franklin,2709,360,323,18
Shelby,2592,302,273,1
Humboldt,2493,233,201,3
Clarke,2469,280,242,3
Emmet,2452,338,225,11
Palo Alto,2362,254,147,0
Greene,2280,145,74,0
Lyon,2232,463,199,5
Howard,2219,209,168,7
Montgomery,2083,125,97,5
Monona,2043,193,120,1
Pocahontas,1896,190,146,2
Keokuk,1862,127,81,1
Worth,1815,117,96,0
Lucas,1775,164,113,6
Adair,1698,88,56,1
Decatur,1688,95,54,0
Ida,1641,155,72,2
Monroe,1493,181,123,11
Davis,1414,139,103,4
Fremont,1398,160,67,0
Taylor,1368,192,136,1
Audubon,1301,112,41,1
Van Buren,1282,134,114,1
Ringgold,1257,64,52,2
Wayne,1201,98,86,3
Osceola,1181,202,106,0
Adams,721,52,30,0
