EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Lyon,883,82,59,0
Osceola,552,72,50,0
Dickinson,3339,346,235,4
Emmet,1273,120,73,0
Allamakee,1767,143,121,4
Kossuth,1651,71,32,0
Winneshiek,1918,62,45,1
Howard,1074,42,24,0
Winnebago,1274,59,26,0
Mitchell,1561,70,46,0
Worth,903,46,10,0
Sioux,3543,538,444,0
O'Brien,1524,108,80,1
Clay,2221,161,112,1
Palo Alto,1285,62,45,0
Hancock,1514,86,60,2
Cerro Gordo,6636,457,109,14
Chickasaw,1381,39,33,0
Floyd,2216,95,66,2
Clayton,1871,63,45,3
Fayette,2299,65,31,0
Plymouth,3499,387,287,6
Cherokee,1518,89,74,1
Buena Vista,7530,1758,1674,12
Pocahontas,1076,109,58,1
Humboldt,1111,71,63,1
Wright,2982,420,358,1
Bremer,2973,143,79,7
Franklin,1507,146,76,3
Butler,1919,85,65,2
Dubuque,17694,1239,483,24
Delaware,1786,67,58,1
Webster,6184,565,198,5
Buchanan,2440,77,44,1
Black Hawk,20960,2724,1965,61
Woodbury,19201,3493,3154,46
Ida,795,26,21,0
Sac,1522,75,60,0
Calhoun,1382,71,59,2
Hamilton,2311,214,204,1
Hardin,2199,109,57,0
Grundy,1523,58,31,1
Jackson,2142,101,25,0
Jones,2058,100,59,1
Linn,27071,1642,1294,87
Benton,2723,97,70,1
Tama,2862,511,418,29
Monona,1034,81,67,0
Crawford,3296,688,651,3
Carroll,2699,145,117,1
Greene,1076,37,29,0
Boone,3410,189,133,1
Story,10824,973,657,10
Marshall,7101,1208,984,21
Clinton,4473,184,86,2
Cedar,2105,103,71,1
Harrison,1343,71,59,0
Shelby,1317,125,123,0
Audubon,598,22,15,1
Guthrie,1448,110,66,5
Johnson,20949,1651,1053,10
Dallas,14177,1589,1121,34
Iowa,2213,68,48,1
Polk,72281,8572,5704,189
Poweshiek,1580,115,100,8
Jasper,4044,414,299,18
Scott,19953,1337,656,11
Muscatine,5888,740,642,45
Pottawattamie,12544,945,708,16
Cass,1110,30,28,0
Washington,2753,269,232,9
Adair,736,20,16,0
Keokuk,938,24,20,1
Warren,6509,419,240,1
Madison,1809,77,40,2
Mahaska,1752,129,101,17
Marion,2720,111,79,0
Louisa,1681,372,344,13
Mills,2357,60,32,0
Montgomery,1032,24,16,2
Adams,361,12,8,0
Henry,2210,100,78,3
Jefferson,1567,68,50,0
Union,1775,56,29,1
Wapello,4874,758,686,31
Clarke,1288,152,119,3
Lucas,662,39,27,4
Monroe,677,61,43,7
Des Moines,3537,117,85,2
Fremont,527,15,6,0
Page,1469,38,20,0
Taylor,759,83,79,0
Ringgold,628,18,14,1
Van Buren,550,22,18,1
Davis,704,46,36,1
Decatur,519,15,11,0
Wayne,395,11,10,1
Appanoose,1175,34,25,3
Lee,2390,63,45,2
Pending Investigation,0,19,1,0
