EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,151331,18501,15640,285
Linn,61251,5303,3938,129
Johnson,45323,5749,5082,30
Scott,44986,4291,2990,37
Black Hawk,40336,5411,4389,98
Woodbury,36819,7010,5419,94
Dubuque,35205,4956,3233,55
Story,33086,3926,3423,18
Dallas,29836,3392,2755,44
Pottawattamie,26117,3125,2290,44
Warren,14793,1196,956,7
Webster,13915,1796,1275,14
Cerro Gordo,13141,1313,1033,25
Marshall,12641,1969,1750,36
Clinton,11568,1425,1099,26
Muscatine,11455,1403,1057,58
Des Moines,11288,1319,788,10
Buena Vista,10197,2233,1977,12
Jasper,9464,1064,816,34
Wapello,9401,1501,1383,62
Sioux,9381,2354,1637,16
Lee,8259,923,634,10
Marion,8127,957,869,10
Plymouth,7936,1610,1118,27
Boone,7397,699,507,9
Carroll,6834,1078,655,12
Benton,6678,541,316,1
Bremer,6203,649,486,9
Washington,6182,629,461,11
Dickinson,6097,718,519,7
Henry,6061,1015,757,5
Crawford,5968,1341,1070,14
Mahaska,5901,660,426,24
Buchanan,5222,426,275,4
Winneshiek,5180,460,363,9
Pending Investigation,5151,16,0,0
Tama,5118,925,717,37
Wright,5008,709,592,1
Fayette,4855,358,221,3
Jackson,4795,568,351,3
Cedar,4783,432,243,5
Jones,4737,423,273,3
Poweshiek,4657,447,321,11
Iowa,4623,395,207,8
Delaware,4614,736,523,12
Clay,4545,511,323,4
Hardin,4515,454,298,6
Mills,4447,361,182,1
Floyd,4378,424,383,11
Hamilton,4252,462,401,3
Kossuth,4215,447,276,0
Madison,4133,353,225,3
Butler,3851,356,320,2
Clayton,3776,389,304,3
Union,3729,223,201,4
O'Brien,3625,617,380,14
Harrison,3623,630,247,9
Winnebago,3520,459,301,19
Cass,3506,363,250,2
Page,3448,381,286,0
Jefferson,3396,218,137,1
Allamakee,3303,351,253,8
Cherokee,3288,386,252,2
Grundy,3200,292,223,5
Sac,3189,382,257,4
Guthrie,3163,377,239,15
Mitchell,3148,241,190,0
Appanoose,3115,219,136,3
Louisa,3067,509,413,15
Calhoun,3034,288,235,4
Hancock,3018,302,238,4
Chickasaw,2930,339,317,1
Shelby,2861,360,313,1
Franklin,2807,378,338,18
Humboldt,2727,312,238,3
Emmet,2712,418,277,17
Clarke,2688,331,257,3
Palo Alto,2521,302,211,2
Greene,2467,182,106,0
Lyon,2447,530,319,7
Howard,2403,261,179,9
Montgomery,2251,162,140,6
Monona,2203,236,167,1
Pocahontas,2026,218,159,2
Keokuk,1990,151,115,1
Lucas,1975,198,152,6
Adair,1962,152,69,1
Worth,1944,136,108,0
Decatur,1883,144,65,0
Ida,1766,186,124,2
Monroe,1738,254,150,11
Davis,1575,164,120,4
Fremont,1516,190,117,1
Taylor,1503,230,155,2
Van Buren,1435,167,110,2
Audubon,1421,140,83,1
Ringgold,1367,87,66,2
Wayne,1323,113,95,3
Osceola,1323,262,167,0
Adams,821,72,36,0
