EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,187,8,3,0
Appanoose,323,12,3,3
Boone,1429,55,25,0
Carroll,543,9,7,0
Clarke,363,34,12,0
Dallas,4372,863,526,14
Davis,292,20,10,0
Decatur,194,0,0,0
Greene,308,13,14,0
Guthrie,404,43,29,3
Jasper,1777,256,190,16
Lucas,177,6,1,0
Madison,443,24,11,1
Mahaska,680,85,18,7
Marion,795,29,19,0
Marshall,3305,869,456,11
Monroe,245,33,12,4
Polk,21246,3791,1501,109
Poweshiek,546,86,69,8
Ringgold,131,4,0,0
Story,2101,95,69,1
Tama,1432,395,223,23
Union,347,7,1,0
Warren,1747,112,74,0
Wayne,103,1,1,0
Cerro,2259,22,14,1
Chickasaw,328,8,7,0
Floyd,694,18,10,1
Franklin,526,8,5,0
Hancock,425,13,4,0
Hardin,461,13,9,0
Kossuth,340,7,2,0
Mitchell,321,4,4,0
Winnebago,317,10,7,0
Worth,265,3,3,0
Wright,1064,123,15,0
Calhoun,259,3,1,0
Cherokee,368,18,8,0
Clay,330,10,9,0
Dickinson,290,9,6,0
Emmet,243,7,3,0
Hamilton,906,26,9,0
Humboldt,279,13,7,0
Ida,246,13,7,0
Lyon,254,19,18,0
Monona,322,24,13,0
O'Brien,384,24,14,0
Osceola,174,32,26,0
Palo,145,3,1,0
Plymouth,992,116,71,0
Pocahontas,199,4,2,0
Sac,419,13,4,0
Sioux,948,207,97,0
Webster,1339,27,10,1
Woodbury,10417,2634,1277,24
Audubon,203,12,9,1
Cass,340,11,1,0
Crawford,1769,486,267,2
Fremont,124,4,2,0
Harrison,386,19,17,0
Mills,1080,16,11,0
Montgomery,236,6,5,0
Page,496,10,9,0
Pottawattamie,2754,214,122,7
Shelby,280,31,24,0
Taylor,229,39,1,0
Clinton,1360,60,55,1
Des,810,56,31,1
Henry,640,63,43,1
Iowa,634,33,30,0
Jackson,485,12,8,0
Jefferson,359,18,10,0
Johnson,6432,603,339,7
Keokuk,319,14,11,0
Lee,557,23,17,0
Louisa,1014,335,213,7
Muscatine,2848,545,356,39
Scott,5687,338,286,9
Van,157,10,8,0
Wapello,2155,514,157,4
Washington,1325,184,136,8
Benton,862,37,31,1
Black,8486,1686,970,39
Bremer,740,67,54,6
Buchanan,643,32,24,0
Clayton,586,30,24,3
Delaware,537,15,12,0
Dubuque,4710,324,147,16
Fayette,711,26,25,0
Grundy,408,19,12,0
Howard,296,12,10,0
Jones,660,36,34,0
Linn,8329,935,762,75
Winneshiek,663,23,19,0
