EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Lyon,718,50,40,0
Osceola,467,65,50,0
Dickinson,2810,293,180,3
Emmet,1021,95,59,0
Allamakee,1561,136,116,4
Kossuth,1321,40,24,0
Winneshiek,1548,43,25,0
Howard,927,37,15,0
Winnebago,954,32,22,0
Mitchell,1265,43,32,0
Worth,667,22,10,0
Sioux,3152,496,397,0
O'Brien,1298,92,70,1
Clay,1996,147,98,1
Palo Alto,1138,46,32,0
Hancock,1314,58,43,1
Cerro Gordo,5127,228,64,1
Chickasaw,1192,29,28,0
Floyd,1945,75,56,2
Clayton,1618,48,36,3
Fayette,2016,55,31,0
Plymouth,2976,339,273,5
Cherokee,1288,82,69,1
Buena Vista,7219,1728,1544,11
Pocahontas,960,105,48,1
Humboldt,982,59,48,1
Wright,2787,392,294,1
Bremer,2502,105,79,7
Franklin,1305,103,62,0
Butler,1610,62,48,2
Dubuque,14489,861,421,22
Delaware,1513,55,43,1
Webster,5128,322,151,4
Buchanan,2136,62,38,1
Black Hawk,17975,2438,1861,59
Woodbury,17458,3302,3090,44
Ida,712,23,21,0
Sac,1345,65,59,0
Calhoun,1224,59,38,2
Hamilton,2068,194,175,1
Hardin,1974,88,44,0
Grundy,1311,46,26,0
Jackson,1537,52,18,0
Jones,1636,69,55,0
Linn,22408,1357,1102,83
Benton,2252,73,54,1
Tama,2559,481,401,29
Monona,958,77,53,0
Crawford,3072,679,611,3
Carroll,2225,108,86,1
Greene,891,29,22,0
Boone,2983,160,118,1
Story,9227,835,411,4
Marshall,6240,1070,946,19
Clinton,3665,124,69,1
Cedar,1813,92,70,1
Harrison,1169,58,47,0
Shelby,1170,119,104,0
Audubon,532,16,15,1
Guthrie,1100,72,57,4
Johnson,17774,1392,840,8
Dallas,11644,1356,1052,31
Iowa,1949,61,44,1
Polk,58997,7119,5178,182
Poweshiek,1363,109,95,8
Jasper,3398,339,273,17
Scott,16112,971,592,10
Muscatine,5196,687,557,44
Pottawattamie,10774,795,654,12
Cass,949,27,19,0
Washington,2444,249,214,9
Adair,523,16,12,0
Keokuk,834,22,17,1
Warren,5305,306,227,1
Madison,1516,52,35,2
Mahaska,1506,119,99,17
Marion,2170,75,57,0
Louisa,1507,364,342,13
Mills,2071,47,32,0
Montgomery,843,11,8,2
Adams,300,8,8,0
Henry,1825,91,78,3
Jefferson,1350,62,48,0
Union,1453,38,22,0
Wapello,4379,712,665,31
Clarke,1139,142,116,3
Lucas,557,33,24,4
Monroe,574,51,43,7
Des Moines,3046,96,80,2
Fremont,443,9,6,0
Page,1284,20,20,0
Taylor,688,81,73,0
Ringgold,567,15,12,1
Van Buren,474,21,16,0
Davis,614,42,34,1
Decatur,471,13,9,0
Wayne,353,11,6,0
Appanoose,943,21,17,3
Lee,2112,54,43,2
Pending Investigation,0,31,2,0
