EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,37721,5230,2500,163
Linn,14802,1029,849,80
Woodbury,14249,3021,2498,40
Black Hawk,12162,1841,1121,55
Johnson,10136,661,474,8
Scott,9757,411,366,10
Dallas,7327,1036,680,28
Dubuque,6976,393,230,22
Pottawattamie,6762,527,318,11
Buena Vista,6421,1612,375,10
Marshall,4833,944,590,18
Story,4439,291,129,3
Muscatine,3701,575,499,43
Wapello,3646,679,509,26
Cerro Gordo,3484,49,26,1
Warren,3468,200,161,1
Webster,3457,102,73,1
Jasper,2474,283,202,17
Crawford,2443,623,358,2
Clinton,2425,68,61,1
Wright,2224,292,108,0
Sioux,2212,363,167,0
Des Moines,2046,66,61,2
Boone,2019,101,52,1
Washington,1921,208,172,9
Tama,1891,429,346,29
Bremer,1856,75,66,6
Plymouth,1826,205,127,4
Mills,1620,24,22,0
Hamilton,1543,129,70,0
Benton,1476,48,41,1
Marion,1450,41,32,0
Lee,1311,40,27,1
Floyd,1283,21,17,1
Henry,1262,74,66,2
Louisa,1259,354,287,13
Buchanan,1253,35,31,1
Cedar,1251,54,50,1
Pending Investigation,1236,5,0,0
Carroll,1180,57,15,1
Fayette,1162,28,28,0
Winneshiek,1143,24,24,0
Butler,1124,27,14,2
Mahaska,1093,108,83,15
Clay,1091,85,28,0
Dickinson,1084,166,53,1
Jones,1079,41,38,0
Hardin,1044,47,13,0
Allamakee,1035,121,90,4
Sac,1010,39,27,0
Iowa,992,34,33,0
Clayton,969,35,29,3
Page,948,17,13,0
Delaware,935,28,19,1
Kossuth,927,20,12,0
Poweshiek,922,95,83,8
Jefferson,921,46,28,0
Jackson,887,14,10,0
Hancock,884,31,19,0
Franklin,876,51,14,0
O'Brien,869,67,27,1
Madison,851,34,27,2
Cherokee,814,62,47,0
Grundy,787,24,16,0
Harrison,775,40,26,0
Union,757,10,7,0
Clarke,718,89,62,1
Mitchell,713,8,4,0
Chickasaw,707,15,10,0
Calhoun,697,24,11,0
Guthrie,689,60,42,3
Keokuk,623,16,14,1
Appanoose,611,17,11,3
Winnebago,608,13,11,0
Cass,604,14,14,0
Shelby,600,56,38,0
Humboldt,584,34,22,1
Emmet,581,44,27,0
Montgomery,569,9,6,2
Monona,565,50,20,0
Taylor,549,74,20,0
Greene,531,23,14,0
Howard,530,12,10,0
Ida,519,19,16,0
Palo Alto,486,16,8,0
Pocahontas,481,30,4,0
Lyon,475,31,25,0
Davis,473,34,22,1
Worth,422,5,3,0
Monroe,411,49,38,6
Lucas,350,25,16,3
Decatur,342,9,1,0
Adair,338,12,9,0
Osceola,291,49,42,0
Fremont,287,4,2,0
Audubon,282,14,10,1
Van Buren,281,12,10,0
Ringgold,273,9,5,0
Wayne,229,5,3,0
Adams,204,8,5,0
