EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,123906,15094,11466,256
Linn,47010,3691,2901,104
Johnson,37274,4947,2389,27
Scott,34467,2675,1999,27
Black Hawk,32840,4295,3407,85
Story,28559,3242,1537,17
Woodbury,27828,4809,3890,60
Dubuque,27417,2619,1867,40
Dallas,24122,2650,2060,38
Pottawattamie,19833,1934,1582,37
Warren,11762,919,637,6
Webster,11351,1184,701,14
Cerro Gordo,10767,983,694,21
Marshall,10486,1756,1532,34
Clinton,9078,1039,647,18
Buena Vista,8932,1932,1800,12
Muscatine,8876,1053,872,52
Des Moines,8192,723,432,7
Wapello,7748,1232,1089,57
Jasper,7142,732,495,32
Sioux,6584,1258,764,3
Marion,6367,695,481,4
Plymouth,6017,987,590,20
Lee,5812,581,264,7
Boone,5693,451,306,6
Carroll,5204,622,284,5
Bremer,4892,456,255,7
Dickinson,4887,475,393,6
Crawford,4739,972,778,4
Benton,4721,271,179,1
Henry,4652,594,199,4
Washington,4498,420,325,11
Mahaska,4460,319,210,19
Tama,4160,682,573,31
Wright,4137,556,489,1
Buchanan,4061,226,162,1
Winneshiek,3780,279,191,5
Fayette,3716,177,121,1
Floyd,3647,288,237,3
Jackson,3608,286,179,3
Jones,3601,238,151,3
Iowa,3590,175,105,1
Delaware,3576,310,266,3
Cedar,3506,213,144,1
Hamilton,3471,313,255,3
Clay,3440,276,226,3
Mills,3416,162,114,1
Hardin,3409,269,207,1
Poweshiek,3307,233,186,8
Madison,3239,198,151,2
Kossuth,3112,205,112,0
Butler,3090,255,227,2
Clayton,3027,226,195,3
Union,2880,114,85,3
Winnebago,2797,261,136,11
Allamakee,2704,236,161,5
O'Brien,2700,284,166,9
Jefferson,2613,130,99,1
Grundy,2605,198,110,2
Mitchell,2600,174,87,0
Page,2513,141,133,0
Guthrie,2486,209,156,5
Hancock,2433,170,153,2
Sac,2401,190,99,0
Chickasaw,2398,201,176,0
Franklin,2393,330,281,17
Appanoose,2393,119,100,3
Cherokee,2369,176,133,2
Harrison,2361,166,151,2
Louisa,2353,418,367,14
Cass,2350,126,113,2
Calhoun,2306,166,119,2
Shelby,2204,240,227,1
Clarke,2104,253,213,3
Humboldt,2092,168,104,2
Emmet,2038,248,203,10
Palo Alto,1981,156,105,0
Howard,1872,176,95,5
Pending Investigation,1828,9,0,0
Montgomery,1781,85,79,5
Greene,1751,81,46,0
Monona,1617,128,100,1
Pocahontas,1590,149,118,2
Lyon,1586,227,161,3
Keokuk,1563,88,45,1
Worth,1531,100,74,0
Lucas,1468,133,74,6
Adair,1454,62,42,1
Decatur,1383,57,34,0
Ida,1374,82,36,0
Monroe,1273,141,85,10
Davis,1175,111,74,4
Taylor,1144,118,108,1
Van Buren,1134,108,45,1
Ringgold,1037,40,32,2
Wayne,1014,77,52,2
Audubon,997,53,32,1
Fremont,991,78,51,0
Osceola,854,118,92,0
Adams,577,27,23,0
