EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,193,8,3,0
Appanoose,338,13,6,3
Boone,1481,57,32,0
Carroll,557,9,7,0
Clarke,409,44,16,0
Dallas,4506,874,557,17
Davis,300,20,11,0
Decatur,204,1,0,0
Greene,314,13,13,0
Guthrie,461,45,29,3
Jasper,1825,258,194,16
Lucas,195,8,1,0
Madison,467,26,14,1
Mahaska,712,88,18,8
Marion,839,30,20,0
Marshall,3377,880,497,15
Monroe,259,35,14,4
Polk,22160,3893,1634,115
Poweshiek,572,86,71,8
Ringgold,155,4,1,0
Story,2294,97,72,1
Tama,1472,400,267,26
Union,390,6,1,0
Warren,1834,115,85,0
Wayne,116,1,1,0
Cerro,2379,24,15,1
Chickasaw,343,8,8,0
Floyd,722,18,10,1
Franklin,555,10,5,0
Hancock,452,15,4,0
Hardin,505,16,9,0
Kossuth,367,9,3,0
Mitchell,339,5,4,0
Winnebago,334,11,9,0
Worth,274,3,3,0
Wright,1115,134,18,0
Calhoun,273,2,1,0
Cherokee,420,23,9,0
Clay,355,13,10,0
Dickinson,312,16,6,0
Emmet,254,12,3,0
Hamilton,971,29,9,0
Humboldt,295,15,11,0
Ida,262,14,9,0
Lyon,260,19,18,0
Monona,351,24,15,0
O'Brien,403,27,14,0
Osceola,178,31,26,0
Palo,150,3,2,0
Plymouth,1021,119,78,1
Pocahontas,246,10,2,0
Sac,515,17,8,0
Sioux,987,212,113,0
Webster,1409,30,14,1
Woodbury,10724,2668,1396,31
Audubon,208,12,8,1
Cass,347,11,2,0
Crawford,1795,488,293,2
Fremont,129,4,2,0
Harrison,395,19,17,0
Mills,1148,16,12,0
Montgomery,262,6,5,0
Page,525,11,9,0
Pottawattamie,2880,228,140,7
Shelby,291,34,25,0
Taylor,287,49,2,0
Clinton,1437,60,57,1
Des,870,57,37,1
Henry,670,67,49,1
Iowa,666,35,30,0
Jackson,507,11,8,0
Jefferson,370,19,10,0
Johnson,6670,607,381,8
Keokuk,392,14,11,0
Lee,598,23,18,0
Louisa,1039,336,238,10
Muscatine,2915,549,383,41
Scott,5931,348,289,10
Van,164,9,8,0
Wapello,2222,540,219,4
Washington,1359,185,148,8
Benton,893,39,33,1
Black,8792,1713,979,43
Bremer,783,67,58,6
Buchanan,691,31,25,0
Clayton,618,31,26,3
Delaware,562,15,13,0
Dubuque,5046,331,154,16
Fayette,743,26,26,0
Grundy,427,19,12,0
Howard,307,12,10,0
Jones,701,36,36,0
Linn,8652,940,760,76
Winneshiek,693,23,20,0
