EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,128268,15614,12267,261
Linn,49050,3919,3000,109
Johnson,38648,5078,3286,27
Scott,36007,2906,2133,28
Black Hawk,34006,4428,3600,88
Woodbury,29549,5190,4022,63
Story,29369,3375,2054,17
Dubuque,28795,3062,1943,41
Dallas,25038,2748,2182,38
Pottawattamie,20569,2040,1671,38
Warren,12238,946,699,6
Webster,11591,1215,734,14
Cerro Gordo,11090,1018,750,21
Marshall,10807,1768,1590,34
Clinton,9456,1095,778,20
Muscatine,9179,1091,892,54
Buena Vista,9137,1964,1810,12
Des Moines,8586,761,527,7
Wapello,8065,1304,1150,57
Jasper,7596,809,522,32
Sioux,7152,1489,870,3
Marion,6677,752,607,6
Plymouth,6350,1099,676,20
Lee,6093,618,385,7
Boone,6080,496,327,8
Carroll,5507,650,344,5
Benton,5107,303,187,1
Bremer,5090,476,284,7
Dickinson,5058,504,409,6
Crawford,5007,1053,811,5
Henry,4912,679,255,4
Washington,4820,452,330,11
Mahaska,4717,384,282,19
Buchanan,4297,261,171,1
Tama,4297,701,608,31
Wright,4258,571,497,1
Winneshiek,4109,319,235,6
Fayette,3950,208,134,2
Iowa,3798,198,109,1
Floyd,3779,312,261,3
Jackson,3774,323,195,3
Delaware,3760,376,294,3
Jones,3759,261,166,3
Cedar,3739,236,147,1
Hardin,3658,294,216,1
Clay,3619,308,232,4
Hamilton,3562,323,261,3
Mills,3533,174,124,1
Poweshiek,3456,274,193,8
Madison,3380,210,163,2
Kossuth,3338,250,117,0
Butler,3221,265,239,2
Clayton,3150,238,215,3
Union,3013,127,86,3
Winnebago,2922,286,146,13
O'Brien,2909,340,188,9
Allamakee,2822,254,172,6
Grundy,2720,218,120,3
Mitchell,2708,186,93,0
Jefferson,2708,137,109,1
Guthrie,2604,240,163,6
Cherokee,2597,231,135,2
Harrison,2583,196,155,2
Page,2580,150,140,0
Sac,2557,235,105,0
Cass,2547,152,119,2
Chickasaw,2527,242,196,0
Hancock,2505,177,155,2
Calhoun,2494,179,128,2
Appanoose,2493,129,110,3
Franklin,2487,346,292,18
Louisa,2474,427,378,15
Shelby,2303,250,234,1
Pending Investigation,2298,6,0,0
Clarke,2228,264,224,3
Humboldt,2184,183,107,3
Emmet,2113,255,209,10
Palo Alto,2062,178,106,0
Howard,1980,185,120,6
Greene,1921,99,52,0
Montgomery,1840,90,82,5
Lyon,1780,285,170,4
Monona,1724,144,107,1
Keokuk,1665,102,56,1
Pocahontas,1650,156,122,2
Worth,1607,104,78,0
Lucas,1567,154,79,6
Adair,1522,69,47,1
Decatur,1469,66,40,0
Ida,1447,113,39,1
Monroe,1339,156,92,10
Davis,1236,122,78,4
Taylor,1201,127,112,1
Van Buren,1176,112,52,1
Fremont,1120,105,57,0
Ringgold,1097,48,37,2
Audubon,1071,77,36,1
Wayne,1071,85,67,2
Osceola,922,149,100,0
Adams,616,33,26,0
