EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,192288,32343,19436,325
Linn,83991,13649,5835,162
Scott,60380,10597,4935,81
Johnson,57367,9236,5952,35
Black Hawk,51148,10598,5874,131
Woodbury,43891,10002,7423,116
Dubuque,43375,8925,5455,90
Story,40823,6597,4080,19
Dallas,37738,6134,3518,56
Pottawattamie,33408,5925,3403,67
Warren,19296,2657,1304,10
Cerro Gordo,17318,3371,1460,42
Webster,16633,3472,1919,31
Clinton,15323,3131,1532,37
Marshall,15268,3397,2068,44
Des Moines,15095,2741,1505,16
Muscatine,15072,2748,1478,68
Jasper,12209,2088,1160,40
Wapello,11661,2467,1541,71
Sioux,11616,3571,2527,25
Buena Vista,11575,2958,2285,14
Lee,11022,1935,1010,16
Marion,10555,1973,1078,19
Plymouth,9776,2623,1719,38
Boone,9239,1318,741,11
Benton,9202,1632,637,16
Carroll,8540,1929,1179,21
Bremer,8446,1881,721,12
Washington,8338,1362,688,13
Pending Investigation,8098,601,2,1
Henry,7756,1734,1108,7
Dickinson,7467,1285,785,10
Jones,7457,2257,498,13
Mahaska,7257,1235,712,27
Buchanan,6806,1133,477,9
Crawford,6751,1716,1370,15
Winneshiek,6750,929,540,10
Fayette,6405,1003,408,8
Cedar,6390,1030,491,13
Jackson,6357,1394,695,11
Tama,6258,1501,957,40
Poweshiek,6066,964,495,12
Wright,6059,1192,766,5
Hardin,5976,1109,494,10
Iowa,5901,902,420,11
Clay,5849,1097,556,4
Delaware,5846,1381,806,21
Mills,5704,999,422,7
Floyd,5619,1002,479,14
Kossuth,5417,975,493,5
Hamilton,5331,1061,505,7
Jefferson,5160,661,255,1
Madison,5092,662,371,4
Butler,4993,950,453,5
Clayton,4926,1052,494,5
Union,4893,734,279,6
O'Brien,4727,1213,725,30
Harrison,4524,1024,691,28
Page,4504,1096,440,4
Winnebago,4490,889,496,23
Cass,4423,785,497,21
Allamakee,4189,740,386,11
Hancock,4160,831,379,7
Appanoose,4157,750,256,9
Calhoun,4147,1026,358,7
Grundy,4125,823,331,11
Cherokee,4107,784,415,4
Mitchell,4072,762,293,4
Guthrie,4046,725,403,15
Sac,3973,811,403,7
Louisa,3961,828,532,16
Chickasaw,3844,813,647,4
Shelby,3651,735,437,6
Franklin,3635,703,398,20
Emmet,3455,722,432,24
Humboldt,3452,722,364,5
Palo Alto,3282,619,330,4
Lyon,3209,986,561,8
Clarke,3208,467,353,4
Greene,3071,508,196,0
Howard,3047,523,268,9
Montgomery,2892,438,202,10
Keokuk,2849,555,174,7
Pocahontas,2687,547,236,2
Monona,2671,413,255,2
Adair,2581,422,195,8
Worth,2555,341,151,0
Lucas,2490,317,203,6
Decatur,2347,309,164,0
Ida,2241,462,206,10
Davis,2169,442,188,5
Monroe,2164,433,257,12
Fremont,1914,350,214,3
Van Buren,1897,347,188,4
Taylor,1869,442,254,2
Osceola,1769,504,305,1
Audubon,1768,285,160,1
Ringgold,1690,196,97,2
Wayne,1612,289,140,6
Adams,1089,161,83,2
