EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,42147,5510,2669,167
Linn,16349,1097,857,80
Woodbury,14893,3069,2587,42
Black Hawk,13042,1896,1160,56
Johnson,11612,770,497,8
Scott,10540,449,376,10
Dallas,8207,1075,689,29
Pottawattamie,7737,620,405,11
Dubuque,7608,417,239,22
Buena Vista,6655,1667,476,10
Story,5647,474,137,3
Marshall,5100,974,608,18
Muscatine,3931,585,500,43
Warren,3855,211,181,2
Wapello,3815,689,555,27
Cerro Gordo,3660,59,28,1
Webster,3627,120,81,1
Crawford,2651,640,376,2
Jasper,2647,296,210,17
Clinton,2621,75,65,1
Sioux,2537,423,200,0
Wright,2371,332,138,0
Des Moines,2296,79,62,2
Plymouth,2219,249,157,4
Boone,2218,118,60,1
Washington,2013,212,179,9
Bremer,1958,82,68,6
Tama,1951,431,351,29
Mills,1761,31,22,0
Hamilton,1716,159,93,0
Pending Investigation,1660,6,1,0
Benton,1622,52,42,1
Marion,1575,46,35,0
Lee,1568,45,30,1
Carroll,1522,69,18,1
Iowa,1422,40,33,0
Henry,1370,78,69,3
Cedar,1364,63,50,1
Buchanan,1362,37,31,1
Dickinson,1358,201,75,2
Floyd,1353,34,18,1
Hardin,1331,53,18,0
Louisa,1317,355,288,13
Clay,1267,105,40,0
Fayette,1254,29,28,0
Butler,1226,35,20,2
Winneshiek,1203,24,24,0
Jones,1187,46,41,0
Mahaska,1169,112,86,15
Clayton,1136,35,31,3
Allamakee,1093,121,90,4
Sac,1085,47,32,0
Delaware,1035,33,26,1
Page,1025,18,16,0
Kossuth,1007,24,13,0
Franklin,1006,63,25,0
Poweshiek,994,97,84,8
Hancock,989,38,24,0
Jefferson,977,47,30,0
Jackson,950,19,11,0
O'Brien,939,73,34,1
Madison,937,35,30,2
Grundy,912,26,17,0
Union,879,14,7,0
Cherokee,878,66,55,0
Clarke,874,111,66,2
Harrison,859,42,35,0
Chickasaw,846,21,15,0
Calhoun,799,25,16,0
Mitchell,783,8,5,0
Guthrie,766,62,43,4
Appanoose,710,20,11,3
Shelby,696,79,41,0
Cass,680,16,15,0
Keokuk,676,16,14,1
Monona,670,59,22,0
Emmet,665,58,28,0
Montgomery,659,10,6,2
Greene,656,28,15,0
Winnebago,648,15,12,0
Humboldt,641,40,29,1
Ida,580,21,18,0
Howard,576,14,10,0
Taylor,575,76,22,0
Pocahontas,567,38,6,1
Palo Alto,561,22,14,0
Lyon,524,36,30,0
Davis,509,36,23,1
Monroe,448,49,42,6
Worth,444,6,5,0
Lucas,399,26,17,3
Decatur,381,9,6,0
Ringgold,375,11,8,0
Adair,365,12,11,0
Osceola,320,49,45,0
Fremont,317,4,2,0
Van Buren,301,12,11,0
Audubon,301,15,11,1
Wayne,265,5,3,0
Adams,210,7,5,0
