EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,191,7,3,0
Appanoose,331,13,6,3
Boone,1458,55,32,0
Carroll,552,9,7,0
Clarke,375,37,12,0
Dallas,4422,864,547,17
Davis,296,20,10,0
Decatur,194,0,0,0
Greene,309,13,13,0
Guthrie,451,43,29,3
Jasper,1799,257,192,16
Lucas,183,7,1,0
Madison,458,25,13,1
Mahaska,693,85,18,8
Marion,815,30,20,0
Marshall,3342,876,477,13
Monroe,250,35,14,4
Polk,21676,3835,1576,112
Poweshiek,561,86,71,8
Ringgold,145,4,0,0
Story,2240,95,72,1
Tama,1460,400,259,24
Union,364,6,1,0
Warren,1784,112,80,0
Wayne,107,1,1,0
Cerro,2300,22,15,1
Chickasaw,335,8,8,0
Floyd,703,18,10,1
Franklin,542,8,5,0
Hancock,430,14,4,0
Hardin,492,14,9,0
Kossuth,349,8,3,0
Mitchell,324,4,4,0
Winnebago,322,10,8,0
Worth,270,3,3,0
Wright,1079,124,16,0
Calhoun,264,2,1,0
Cherokee,411,23,8,0
Clay,347,13,9,0
Dickinson,293,9,6,0
Emmet,245,7,3,0
Hamilton,943,25,9,0
Humboldt,284,13,9,0
Ida,259,14,7,0
Lyon,257,19,18,0
Monona,335,24,13,0
O'Brien,395,27,14,0
Osceola,176,32,26,0
Palo,148,3,2,0
Plymouth,1005,118,76,1
Pocahontas,234,8,2,0
Sac,504,17,5,0
Sioux,963,210,107,0
Webster,1370,29,14,1
Woodbury,10533,2644,1335,28
Audubon,206,12,8,1
Cass,342,11,2,0
Crawford,1788,488,282,2
Fremont,129,4,2,0
Harrison,394,19,17,0
Mills,1143,16,12,0
Montgomery,246,6,5,0
Page,516,10,9,0
Pottawattamie,2849,220,136,7
Shelby,288,33,25,0
Taylor,253,42,1,0
Clinton,1382,60,57,1
Des,820,56,34,1
Henry,661,67,48,1
Iowa,645,33,29,0
Jackson,495,12,8,0
Jefferson,364,18,10,0
Johnson,6536,605,374,7
Keokuk,342,14,11,0
Lee,573,22,18,0
Louisa,1027,336,237,9
Muscatine,2891,545,374,40
Scott,5826,341,284,9
Van,161,9,8,0
Wapello,2183,517,188,4
Washington,1341,185,143,8
Benton,876,39,32,1
Black,8641,1696,974,41
Bremer,762,67,58,6
Buchanan,675,31,25,0
Clayton,597,31,26,3
Delaware,551,15,12,0
Dubuque,4920,325,152,16
Fayette,723,26,26,0
Grundy,416,19,12,0
Howard,297,12,10,0
Jones,680,36,36,0
Linn,8438,936,756,76
Winneshiek,673,23,20,0
