EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,110530,13630,10042,227
Linn,41859,3032,2506,94
Johnson,32963,4209,2029,26
Scott,30528,2267,1712,21
Black Hawk,29355,3853,3032,76
Story,25324,2657,1203,16
Woodbury,24758,4199,3655,56
Dubuque,24464,2072,1631,36
Dallas,21365,2414,1848,38
Pottawattamie,17892,1678,1406,34
Webster,10397,1050,651,9
Warren,10241,803,552,6
Cerro Gordo,9660,852,579,20
Marshall,9623,1672,1414,32
Buena Vista,8394,1831,1777,12
Pending Investigation,8064,12,0,0
Muscatine,7978,979,799,52
Clinton,7898,866,375,13
Des Moines,6967,583,158,5
Wapello,6877,1098,951,51
Jasper,6103,595,446,30
Sioux,5644,920,619,3
Marion,5303,518,211,2
Plymouth,5168,785,441,18
Boone,4931,352,245,4
Lee,4864,451,105,5
Dickinson,4468,432,370,6
Carroll,4421,429,218,3
Bremer,4300,355,211,7
Crawford,4204,843,724,3
Benton,4142,211,148,1
Wright,3803,520,446,1
Washington,3797,350,301,11
Tama,3780,643,522,29
Mahaska,3760,234,158,18
Henry,3672,298,119,4
Buchanan,3575,176,122,1
Fayette,3305,147,84,1
Floyd,3253,222,185,3
Winneshiek,3182,224,115,4
Jackson,3182,220,149,1
Hamilton,3163,287,242,2
Mills,3134,133,86,1
Delaware,3128,234,177,3
Jones,3093,175,135,2
Iowa,3092,116,94,1
Clay,3055,239,182,3
Hardin,3054,233,178,1
Cedar,2963,156,129,1
Madison,2851,167,120,2
Poweshiek,2828,185,164,8
Clayton,2749,185,154,3
Butler,2733,213,172,2
Union,2581,92,72,3
Kossuth,2571,123,84,0
Winnebago,2435,166,82,10
Allamakee,2399,184,149,5
Jefferson,2372,120,82,0
O'Brien,2348,207,132,8
Mitchell,2274,114,78,0
Grundy,2265,134,79,1
Page,2255,115,108,0
Franklin,2184,303,255,17
Hancock,2156,159,134,2
Guthrie,2155,175,134,5
Louisa,2136,397,363,14
Cass,2078,114,102,2
Sac,2042,121,85,0
Cherokee,2013,142,127,2
Chickasaw,2004,112,83,0
Harrison,2004,149,128,2
Appanoose,1988,89,68,3
Calhoun,1982,131,93,2
Shelby,1925,219,208,1
Clarke,1874,243,191,3
Humboldt,1837,152,95,2
Emmet,1820,224,191,8
Palo Alto,1729,119,81,0
Howard,1596,138,71,2
Montgomery,1589,81,66,5
Greene,1523,59,39,0
Pocahontas,1409,132,112,2
Monona,1366,108,92,1
Worth,1342,83,66,0
Lyon,1323,152,133,2
Keokuk,1300,69,32,1
Adair,1280,49,30,1
Lucas,1183,97,57,5
Decatur,1176,48,24,0
Ida,1125,45,29,0
Monroe,1079,115,64,8
Taylor,1036,113,102,1
Davis,1026,86,56,3
Van Buren,974,103,33,1
Fremont,866,61,37,0
Ringgold,866,31,27,1
Audubon,862,39,27,1
Osceola,758,99,83,0
Wayne,747,54,33,2
Adams,503,22,17,0
