EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,158497,20194,16211,290
Linn,65425,6407,4272,134
Scott,47799,5105,3320,43
Johnson,47456,6152,5233,31
Black Hawk,42271,6250,4551,102
Woodbury,38470,7631,5887,99
Dubuque,36791,5704,3694,59
Story,34178,4196,3547,18
Dallas,31070,3673,2887,47
Pottawattamie,27485,3498,2541,45
Warren,15514,1366,990,7
Webster,14409,2039,1433,15
Cerro Gordo,13850,1579,1095,27
Marshall,13178,2191,1787,36
Clinton,12232,1608,1180,28
Des Moines,12083,1557,891,11
Muscatine,12078,1575,1106,58
Buena Vista,10461,2338,2048,12
Jasper,9982,1260,876,34
Sioux,9890,2612,1875,17
Wapello,9766,1624,1413,62
Lee,8722,1051,684,12
Marion,8528,1106,935,11
Plymouth,8348,1809,1244,31
Boone,7736,773,558,9
Carroll,7232,1239,754,13
Benton,7141,695,364,3
Washington,6619,717,515,12
Bremer,6463,760,518,9
Dickinson,6406,826,568,9
Henry,6401,1157,833,5
Mahaska,6192,768,461,25
Crawford,6118,1400,1137,15
Pending Investigation,5629,25,0,0
Winneshiek,5519,528,384,9
Buchanan,5495,526,314,5
Tama,5344,1030,752,38
Wright,5185,786,617,1
Jackson,5112,736,402,3
Cedar,5110,531,279,7
Fayette,5080,435,252,4
Jones,5067,552,316,4
Poweshiek,4885,506,371,11
Delaware,4873,861,544,14
Iowa,4858,471,246,10
Clay,4779,580,371,4
Hardin,4750,525,321,7
Mills,4680,451,221,3
Floyd,4559,480,412,11
Kossuth,4424,506,338,0
Hamilton,4420,498,445,5
Madison,4300,384,271,3
Clayton,4062,538,357,3
Butler,4020,420,348,3
Union,3924,281,232,5
O'Brien,3906,793,447,14
Harrison,3838,728,338,17
Cass,3720,468,305,3
Winnebago,3711,532,328,19
Jefferson,3691,272,151,1
Page,3553,431,356,0
Allamakee,3458,419,265,9
Cherokee,3418,439,301,2
Grundy,3337,361,240,6
Sac,3322,424,289,4
Guthrie,3314,425,282,15
Mitchell,3297,305,202,1
Appanoose,3264,261,155,3
Louisa,3238,553,432,15
Hancock,3206,397,270,6
Calhoun,3168,343,266,4
Chickasaw,3051,387,354,1
Shelby,3028,423,359,2
Franklin,2926,403,347,18
Humboldt,2905,390,253,3
Emmet,2886,463,314,21
Clarke,2826,369,267,3
Palo Alto,2631,338,241,2
Lyon,2584,591,418,8
Greene,2558,205,128,0
Howard,2507,288,190,9
Montgomery,2393,206,155,7
Monona,2306,262,185,2
Pocahontas,2147,255,178,2
Keokuk,2130,200,126,1
Adair,2101,216,77,1
Lucas,2077,217,155,6
Worth,2037,157,113,0
Decatur,1994,171,74,0
Ida,1876,239,147,2
Monroe,1816,278,156,12
Davis,1667,199,131,4
Fremont,1592,219,149,2
Taylor,1575,266,191,2
Van Buren,1519,196,122,2
Audubon,1508,187,103,1
Ringgold,1435,104,79,2
Osceola,1422,313,196,0
Wayne,1383,158,104,3
Adams,857,84,49,1
