EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Lyon,944,90,74,0
Osceola,581,75,56,0
Dickinson,3575,359,245,4
Emmet,1369,145,77,1
Allamakee,1922,146,122,4
Kossuth,1809,72,33,0
Winneshiek,2055,71,52,1
Howard,1165,47,30,0
Winnebago,1422,69,29,0
Mitchell,1708,75,63,0
Worth,1003,51,15,0
Sioux,3756,563,465,1
O'Brien,1600,112,86,1
Clay,2357,166,125,1
Palo Alto,1329,64,45,0
Hancock,1648,105,74,2
Cerro Gordo,7333,552,169,16
Chickasaw,1444,48,37,0
Floyd,2356,95,69,2
Clayton,2009,84,55,3
Fayette,2415,71,33,0
Plymouth,3761,417,305,8
Cherokee,1579,96,78,1
Buena Vista,7670,1776,1690,12
Pocahontas,1121,112,82,1
Humboldt,1181,82,67,1
Wright,3049,431,377,1
Bremer,3155,167,80,7
Franklin,1602,173,91,3
Butler,2040,99,81,2
Dubuque,18668,1377,530,26
Delaware,1926,79,60,1
Webster,6436,654,243,5
Buchanan,2599,91,48,1
Black Hawk,22302,2870,2082,62
Woodbury,20041,3569,3189,47
Ida,835,28,22,0
Sac,1579,76,63,0
Calhoun,1440,75,68,2
Hamilton,2419,226,212,1
Hardin,2359,138,68,0
Grundy,1639,65,35,1
Jackson,2399,126,28,0
Jones,2240,111,61,1
Linn,29611,1855,1441,87
Benton,2964,117,82,1
Tama,3013,521,426,29
Monona,1082,88,74,0
Crawford,3404,696,665,3
Carroll,2933,168,120,1
Greene,1141,37,29,0
Boone,3634,218,136,1
Story,11581,1056,750,11
Marshall,7584,1310,1000,23
Clinton,4934,243,101,2
Cedar,2221,109,80,1
Harrison,1443,84,63,0
Shelby,1399,135,126,0
Audubon,634,25,15,1
Guthrie,1612,122,69,5
Johnson,22372,1771,1241,12
Dallas,15194,1674,1178,34
Iowa,0,77,51,1
Polk,77911,9112,6057,193
Poweshiek,1725,127,102,8
Jasper,4329,439,323,23
Scott,21767,1491,749,11
Muscatine,6190,772,684,46
Pottawattamie,13545,1051,761,19
Cass,1245,37,29,0
Washington,2887,281,248,10
Adair,856,20,16,0
Keokuk,989,27,20,1
Warren,7042,476,259,1
Madison,1985,87,40,2
Mahaska,1869,132,103,17
Marion,2978,138,92,0
Louisa,1731,373,347,14
Mills,2546,70,37,0
Montgomery,1115,39,20,2
Adams,383,13,9,0
Henry,2371,105,81,3
Jefferson,1675,71,57,0
Union,1921,65,29,1
Wapello,5243,797,719,31
Clarke,1365,161,120,3
Lucas,702,40,27,4
Monroe,741,65,43,7
Des Moines,3837,131,86,2
Fremont,581,23,7,0
Page,1631,56,30,0
Taylor,808,93,80,0
Ringgold,676,21,16,1
Van Buren,604,24,18,1
Davis,738,48,38,1
Decatur,559,17,11,0
Wayne,429,14,10,1
Appanoose,1298,36,30,3
Lee,2575,78,49,2
Pending Investigation,0,4,0,0
