EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,210,9,5,0
Appanoose,401,14,10,3
Boone,1571,65,40,0
Carroll,602,11,9,0
Clarke,448,56,20,0
Dallas,4832,916,599,23
Davis,342,23,15,0
Decatur,212,1,1,0
Greene,344,13,13,0
Guthrie,495,51,30,3
Jasper,1899,260,197,17
Lucas,223,17,3,1
Madison,539,29,23,2
Mahaska,780,95,27,10
Marion,960,32,25,0
Marshall,3490,896,539,16
Monroe,297,38,21,5
Polk,24610,4236,1897,133
Poweshiek,615,88,75,8
Ringgold,171,4,2,0
Story,2511,116,81,1
Tama,1532,403,313,27
Union,437,9,1,0
Warren,2033,135,104,0
Wayne,125,1,1,0
Cerro,2636,29,18,1
Chickasaw,399,10,8,0
Floyd,898,20,10,1
Franklin,589,13,8,0
Hancock,551,16,8,0
Hardin,535,17,9,0
Kossuth,398,10,3,0
Mitchell,358,4,4,0
Winnebago,350,11,10,0
Worth,295,3,3,0
Wright,1319,178,32,0
Calhoun,305,2,2,0
Cherokee,469,31,25,0
Clay,394,17,13,0
Dickinson,353,21,7,0
Emmet,267,16,6,0
Hamilton,1082,43,13,0
Humboldt,331,18,12,1
Ida,307,14,13,0
Lyon,286,24,18,0
Monona,379,25,18,0
O'Brien,442,30,18,0
Osceola,188,34,28,0
Palo,161,7,2,0
Plymouth,1134,133,91,2
Pocahontas,267,13,2,0
Sac,569,20,13,0
Sioux,1238,283,131,0
Webster,1608,42,23,1
Woodbury,11259,2761,1732,36
Audubon,218,12,8,1
Cass,385,12,11,0
Crawford,1938,528,324,2
Fremont,147,4,2,0
Harrison,443,23,18,0
Mills,1218,19,18,0
Montgomery,328,8,6,0
Page,604,14,10,0
Pottawattamie,3169,269,166,8
Shelby,328,37,31,0
Taylor,373,56,5,0
Clinton,1600,64,58,1
Des,942,65,51,1
Henry,725,71,57,1
Iowa,691,33,31,0
Jackson,549,12,8,0
Jefferson,450,30,13,0
Johnson,7122,614,440,9
Keokuk,475,14,13,0
Lee,663,27,18,0
Louisa,1069,345,255,11
Muscatine,3024,557,441,41
Scott,6799,361,315,10
Van,180,9,8,0
Wapello,2560,597,277,12
Washington,1457,189,158,8
Benton,955,43,33,1
Black,9375,1747,1008,45
Bremer,1133,69,59,6
Buchanan,752,33,28,0
Clayton,653,34,26,3
Delaware,591,17,14,1
Dubuque,5440,346,187,19
Fayette,813,27,26,0
Grundy,460,20,15,0
Howard,328,12,10,0
Jones,742,36,36,0
Linn,9492,953,773,79
Winneshiek,725,24,21,0
