EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,88300,10268,7584,207
Linn,34529,2362,1823,88
Scott,25341,1721,1181,14
Johnson,25232,2081,1528,19
Black Hawk,24722,3120,2491,66
Woodbury,21579,3716,3329,52
Dubuque,20709,1671,1022,31
Dallas,17408,1886,1431,35
Story,16430,1166,887,14
Pottawattamie,15392,1317,943,26
Marshall,8476,1442,1090,26
Cerro Gordo,8108,621,352,17
Warren,8107,560,346,1
Buena Vista,7921,1791,1732,12
Webster,6883,801,493,7
Muscatine,6825,846,733,48
Clinton,5992,388,147,3
Pending Investigation,5971,8,1,0
Wapello,5891,891,772,33
Jasper,4897,477,362,26
Des Moines,4490,173,102,2
Sioux,4261,630,517,3
Plymouth,4099,458,353,9
Boone,4079,258,172,3
Dickinson,3933,380,304,4
Crawford,3671,728,681,3
Bremer,3580,226,111,7
Marion,3507,170,136,0
Benton,3476,155,101,1
Carroll,3381,188,163,1
Wright,3275,470,406,1
Tama,3272,549,463,29
Washington,3144,298,271,10
Lee,3085,113,54,3
Buchanan,2957,127,64,1
Mills,2762,89,52,0
Iowa,2701,97,63,1
Henry,2694,124,89,4
Jackson,2694,154,75,1
Fayette,2678,82,61,0
Floyd,2655,154,97,2
Hardin,2613,178,102,0
Hamilton,2599,246,235,1
Clay,2587,187,151,1
Jones,2585,130,82,2
Cedar,2484,131,98,1
Delaware,2420,111,86,1
Winneshiek,2343,95,60,1
Madison,2312,119,64,2
Butler,2273,121,104,2
Clayton,2250,104,79,3
Union,2175,77,41,1
Poweshiek,2113,158,110,8
Mahaska,2100,139,110,17
Allamakee,2073,155,137,4
Kossuth,2049,90,50,0
Jefferson,1954,83,64,0
Page,1951,94,70,0
O'Brien,1939,137,100,2
Mitchell,1910,78,67,0
Grundy,1849,79,50,1
Louisa,1843,378,352,14
Hancock,1832,122,102,2
Franklin,1794,239,184,10
Guthrie,1780,132,97,5
Sac,1719,84,69,0
Cherokee,1711,108,93,1
Chickasaw,1649,54,49,0
Winnebago,1648,82,50,0
Shelby,1642,183,155,1
Cass,1625,73,41,1
Harrison,1615,107,82,0
Calhoun,1571,83,73,2
Emmet,1561,191,121,4
Clarke,1523,200,138,3
Appanoose,1494,49,36,3
Palo Alto,1464,84,55,0
Montgomery,1370,59,35,4
Humboldt,1302,109,76,1
Howard,1284,49,37,0
Greene,1249,41,33,0
Pocahontas,1198,115,106,2
Monona,1175,91,79,0
Worth,1126,66,31,0
Keokuk,1091,34,22,1
Lyon,1083,114,93,2
Adair,972,29,18,0
Ida,900,29,24,0
Taylor,894,98,88,0
Lucas,852,64,32,4
Monroe,835,72,48,7
Davis,818,56,42,2
Van Buren,738,36,21,1
Ringgold,724,22,20,1
Audubon,720,28,16,1
Fremont,711,42,17,0
Osceola,649,83,71,0
Decatur,615,23,16,0
Wayne,493,19,12,1
Adams,426,16,10,0
