EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,197135,33938,21347,337
Linn,86129,14356,7156,166
Scott,62333,11351,5685,87
Johnson,58754,9662,6390,37
Black Hawk,52172,10976,6845,137
Woodbury,44950,10434,7946,129
Dubuque,44214,9276,6119,91
Story,41701,6850,4378,22
Dallas,38607,6428,3918,57
Pottawattamie,34717,6445,3704,70
Warren,19780,2841,1510,14
Cerro Gordo,17729,3591,1738,46
Webster,16924,3641,2165,36
Clinton,15791,3340,1772,44
Marshall,15527,3512,2355,46
Des Moines,15521,2917,1749,20
Muscatine,15509,2939,1643,69
Jasper,12614,2244,1368,44
Wapello,11986,2572,1664,72
Sioux,11917,3728,2746,25
Buena Vista,11814,3074,2380,14
Lee,11331,2058,1152,17
Marion,10848,2068,1236,21
Plymouth,10073,2772,1898,42
Boone,9459,1383,836,11
Benton,9423,1719,795,21
Carroll,8717,1997,1300,22
Bremer,8625,1967,914,12
Washington,8526,1466,774,15
Pending Investigation,8410,696,5,0
Henry,7919,1839,1229,7
Dickinson,7690,1403,870,11
Jones,7601,2338,752,15
Mahaska,7369,1279,807,27
Buchanan,6966,1188,593,10
Winneshiek,6915,987,565,13
Crawford,6844,1771,1427,16
Fayette,6570,1059,503,10
Cedar,6542,1102,579,13
Jackson,6499,1467,871,13
Tama,6381,1549,1058,40
Wright,6194,1270,854,6
Poweshiek,6187,998,582,13
Hardin,6124,1171,604,10
Clay,6031,1192,635,4
Iowa,6026,980,506,12
Delaware,5983,1449,930,21
Mills,5900,1064,522,7
Floyd,5730,1065,499,16
Kossuth,5577,1086,544,7
Hamilton,5489,1144,529,9
Jefferson,5315,726,330,2
Madison,5194,695,414,4
Butler,5087,1026,503,6
Clayton,5055,1125,628,8
Union,4972,782,311,6
O'Brien,4924,1305,866,31
Harrison,4665,1087,748,30
Winnebago,4572,933,550,24
Page,4569,1152,567,4
Cass,4525,820,515,23
Allamakee,4302,831,449,11
Appanoose,4276,799,322,12
Hancock,4261,873,458,7
Cherokee,4250,901,477,4
Calhoun,4247,1076,382,7
Grundy,4215,871,415,11
Mitchell,4145,803,351,5
Guthrie,4135,764,455,15
Sac,4063,875,467,8
Louisa,4063,869,577,18
Chickasaw,3934,866,720,4
Shelby,3750,773,458,11
Franklin,3731,743,417,21
Humboldt,3565,785,418,5
Emmet,3542,768,467,24
Palo Alto,3365,657,364,4
Lyon,3337,1053,617,8
Clarke,3280,490,380,4
Greene,3151,532,235,0
Howard,3128,564,286,9
Montgomery,2992,483,231,11
Keokuk,2941,616,249,7
Monona,2747,440,285,2
Pocahontas,2720,564,282,4
Adair,2638,442,248,8
Worth,2620,370,182,0
Lucas,2541,329,222,6
Decatur,2397,320,190,0
Ida,2293,502,259,13
Davis,2240,474,238,9
Monroe,2203,447,277,12
Fremont,1961,366,236,3
Van Buren,1957,361,216,5
Taylor,1909,468,288,3
Osceola,1833,536,335,1
Audubon,1823,300,211,2
Ringgold,1721,220,110,2
Wayne,1636,302,188,7
Adams,1109,171,90,2
