EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,207,9,5,0
Appanoose,364,14,9,3
Boone,1536,59,35,0
Carroll,583,9,8,0
Clarke,431,50,20,0
Dallas,4653,888,574,20
Davis,307,21,12,0
Decatur,209,1,0,0
Greene,340,13,13,0
Guthrie,489,50,30,3
Jasper,1872,260,196,16
Lucas,214,16,1,0
Madison,519,27,21,1
Mahaska,736,93,20,9
Marion,896,32,21,0
Marshall,3452,892,523,16
Monroe,273,38,18,5
Polk,23306,4072,1762,123
Poweshiek,600,87,73,8
Ringgold,166,4,2,0
Story,2412,106,75,1
Tama,1508,401,308,27
Union,412,7,1,0
Warren,1930,121,91,0
Wayne,123,1,1,0
Cerro,2577,27,15,1
Chickasaw,378,10,8,0
Floyd,766,19,10,1
Franklin,573,11,5,0
Hancock,531,16,5,0
Hardin,526,16,9,0
Kossuth,394,9,3,0
Mitchell,349,4,4,0
Winnebago,344,11,10,0
Worth,290,3,3,0
Wright,1242,161,21,0
Calhoun,295,2,2,0
Cherokee,446,27,14,0
Clay,379,13,13,0
Dickinson,337,19,6,0
Emmet,262,14,5,0
Hamilton,1061,33,11,0
Humboldt,326,16,12,0
Ida,290,14,11,0
Lyon,274,20,18,0
Monona,365,24,16,0
O'Brien,424,29,16,0
Osceola,182,32,27,0
Palo,158,6,2,0
Plymouth,1086,127,88,2
Pocahontas,261,11,2,0
Sac,545,18,12,0
Sioux,1016,215,125,0
Webster,1589,37,21,1
Woodbury,11113,2726,1588,34
Audubon,214,12,8,1
Cass,369,12,9,0
Crawford,1870,504,306,2
Fremont,131,4,2,0
Harrison,422,21,17,0
Mills,1198,16,13,0
Montgomery,309,6,5,0
Page,550,11,9,0
Pottawattamie,2957,245,156,8
Shelby,309,35,30,0
Taylor,303,51,5,0
Clinton,1515,61,57,1
Des,912,62,45,1
Henry,692,71,53,1
Iowa,684,33,31,0
Jackson,539,12,8,0
Jefferson,385,21,10,0
Johnson,6918,612,401,9
Keokuk,457,14,12,0
Lee,631,25,18,0
Louisa,1056,341,251,11
Muscatine,2979,554,418,41
Scott,6402,358,301,10
Van,170,9,8,0
Wapello,2284,556,270,8
Washington,1433,187,150,8
Benton,936,40,33,1
Black,9126,1730,998,44
Bremer,1006,69,59,6
Buchanan,737,32,27,0
Clayton,639,33,26,3
Delaware,578,15,13,0
Dubuque,5404,344,164,18
Fayette,789,26,26,0
Grundy,449,20,14,0
Howard,317,12,10,0
Jones,733,36,36,0
Linn,9103,947,771,76
Winneshiek,710,23,20,0
