EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,153,6,2,0
Appanoose,254,8,4,3
Boone,1283,49,20,0
Carroll,460,7,6,0
Clarke,304,24,7,0
Dallas,3882,807,484,12
Davis,120,14,7,0
Decatur,174,0,0,0
Greene,265,13,13,0
Guthrie,345,41,27,3
Jasper,1636,251,188,14
Lucas,145,3,1,0
Madison,366,20,11,1
Mahaska,500,46,16,2
Marion,686,24,15,0
Marshall,3115,833,431,7
Monroe,181,22,4,2
Polk,17849,3298,1269,90
Poweshiek,478,87,65,8
Ringgold,102,1,0,0
Story,1761,83,61,1
Tama,1305,374,209,21
Union,283,5,1,0
Warren,1460,89,55,0
Wayne,85,1,1,0
Cerro,1661,20,13,0
Chickasaw,295,8,6,0
Floyd,609,11,3,1
Franklin,443,7,5,0
Hancock,343,9,3,0
Hardin,423,13,8,0
Kossuth,296,7,2,0
Mitchell,290,4,3,0
Winnebago,270,9,5,0
Worth,227,3,2,0
Wright,846,65,6,0
Calhoun,222,2,0,0
Cherokee,301,10,6,0
Clay,282,9,9,0
Dickinson,253,8,6,0
Emmet,207,6,1,0
Hamilton,569,13,8,0
Humboldt,237,7,7,0
Ida,181,8,3,0
Lyon,217,19,18,0
Monona,268,18,13,0
O'Brien,332,23,13,0
Osceola,158,29,20,0
Palo,130,2,1,0
Plymouth,776,94,58,0
Pocahontas,141,3,2,0
Sac,295,7,4,0
Sioux,819,177,71,0
Webster,1168,20,10,1
Woodbury,9179,2406,1128,22
Audubon,179,11,8,1
Cass,264,4,1,0
Crawford,1457,420,214,1
Fremont,106,4,2,0
Harrison,347,18,17,0
Mills,546,13,10,0
Montgomery,210,5,5,0
Page,458,10,9,0
Pottawattamie,2418,185,89,3
Shelby,243,24,20,0
Taylor,143,5,1,0
Clinton,1193,61,51,1
Des,706,49,26,1
Henry,545,49,40,1
Iowa,532,32,26,0
Jackson,412,8,7,0
Jefferson,284,13,8,0
Johnson,5866,579,317,7
Keokuk,265,13,9,0
Lee,481,20,17,0
Louisa,979,323,206,6
Muscatine,2684,538,338,35
Scott,4947,320,279,8
Van,129,8,8,0
Wapello,1585,420,107,3
Washington,1177,173,135,8
Benton,743,36,29,1
Black,7653,1643,921,37
Bremer,602,65,53,5
Buchanan,566,29,23,0
Clayton,494,30,24,3
Delaware,436,13,11,0
Dubuque,3990,297,138,13
Fayette,633,25,25,0
Grundy,362,19,12,0
Howard,270,12,10,0
Jones,570,36,32,0
Linn,7176,902,723,73
Winneshiek,605,20,18,0
