EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,104717,12249,9377,222
Linn,40194,2854,2355,93
Johnson,29958,3139,1872,26
Scott,29194,2094,1584,19
Black Hawk,28171,3619,2896,72
Woodbury,24076,4021,3571,55
Dubuque,23531,1960,1457,36
Story,23413,1907,1102,16
Dallas,20469,2197,1741,37
Pottawattamie,17303,1560,1278,34
Webster,10028,715,618,8
Warren,9770,691,511,5
Marshall,9406,1603,1361,29
Cerro Gordo,9321,739,548,20
Buena Vista,8296,1822,1770,12
Muscatine,7716,940,751,49
Pending Investigation,7667,23,0,0
Clinton,7405,744,298,9
Wapello,6613,1046,898,46
Des Moines,6203,501,134,5
Jasper,5777,539,426,30
Sioux,5398,850,584,3
Marion,4846,393,199,0
Plymouth,4828,668,427,17
Boone,4706,329,229,4
Lee,4372,343,87,5
Dickinson,4318,412,364,5
Bremer,4096,278,176,7
Carroll,4093,325,192,2
Crawford,4062,808,706,3
Benton,3951,187,132,1
Wright,3739,496,430,1
Tama,3679,606,507,29
Mahaska,3550,206,138,18
Washington,3539,320,293,11
Buchanan,3413,170,103,1
Henry,3261,221,106,4
Fayette,3161,132,77,1
Floyd,3144,192,169,3
Jackson,3054,192,132,1
Hamilton,3050,249,231,2
Mills,3029,121,78,1
Winneshiek,3009,197,96,1
Iowa,2994,110,84,1
Clay,2969,236,168,2
Jones,2960,165,121,2
Hardin,2959,217,158,1
Delaware,2919,189,140,3
Cedar,2818,146,117,1
Madison,2722,155,96,2
Clayton,2643,174,121,3
Poweshiek,2597,180,148,8
Butler,2581,176,140,2
Union,2452,93,64,3
Kossuth,2444,115,77,0
Allamakee,2324,170,142,4
Winnebago,2289,152,73,6
Jefferson,2274,112,75,0
O'Brien,2224,181,126,7
Page,2191,107,106,0
Grundy,2166,119,72,1
Mitchell,2139,91,76,0
Franklin,2100,282,244,16
Hancock,2081,144,124,2
Guthrie,2067,163,124,5
Louisa,2063,387,361,14
Cass,2005,111,98,2
Cherokee,1952,136,119,1
Sac,1934,103,81,0
Chickasaw,1913,97,78,0
Harrison,1897,140,112,1
Calhoun,1894,105,82,2
Shelby,1859,211,198,1
Appanoose,1842,73,56,3
Clarke,1786,224,175,3
Humboldt,1758,102,88,2
Emmet,1749,217,180,7
Palo Alto,1673,107,74,0
Montgomery,1515,70,59,4
Howard,1502,117,52,2
Greene,1446,54,38,0
Pocahontas,1375,124,110,2
Monona,1316,105,89,1
Worth,1290,77,58,0
Lyon,1270,140,124,2
Keokuk,1244,56,27,1
Adair,1213,47,20,1
Decatur,1103,39,24,0
Lucas,1099,85,38,5
Ida,1071,39,29,0
Taylor,1007,107,101,0
Monroe,991,93,58,8
Davis,977,78,48,2
Van Buren,905,49,30,1
Fremont,828,55,32,0
Ringgold,828,30,25,1
Audubon,822,36,27,1
Osceola,728,93,78,0
Wayne,700,40,26,2
Adams,477,20,17,0
