EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,101901,11767,8995,214
Linn,38807,2746,2231,91
Johnson,28630,2550,1795,24
Scott,28443,2005,1521,19
Black Hawk,27547,3514,2818,70
Woodbury,23638,3954,3526,54
Dubuque,23023,1903,1360,35
Story,22468,1569,1070,16
Dallas,19948,2116,1670,36
Pottawattamie,17041,1517,1181,31
Webster,9826,695,608,8
Warren,9511,657,483,5
Marshall,9235,1567,1299,28
Cerro Gordo,9113,716,530,20
Buena Vista,8220,1815,1762,12
Muscatine,7561,925,748,48
Pending Investigation,7160,2,0,0
Clinton,7078,661,252,6
Wapello,6479,1010,865,43
Des Moines,5798,425,128,3
Jasper,5593,523,416,29
Sioux,5166,777,561,3
Plymouth,4651,614,410,15
Boone,4578,315,221,3
Marion,4359,308,182,0
Dickinson,4244,402,353,5
Lee,4042,258,80,5
Bremer,4012,265,163,7
Crawford,3983,789,696,3
Carroll,3962,298,179,2
Benton,3859,182,129,1
Wright,3673,495,430,1
Tama,3607,584,491,29
Washington,3455,316,288,10
Buchanan,3327,164,90,1
Henry,3120,202,104,4
Floyd,3054,184,151,3
Fayette,3051,123,71,0
Hamilton,2997,247,228,2
Mills,2981,117,72,1
Jackson,2972,180,125,1
Iowa,2947,106,77,1
Clay,2894,229,166,2
Hardin,2886,214,146,1
Jones,2879,154,113,2
Winneshiek,2857,170,87,1
Delaware,2784,162,127,2
Cedar,2759,146,109,1
Madison,2655,151,92,2
Clayton,2553,152,104,3
Butler,2523,163,134,2
Poweshiek,2431,177,133,8
Union,2405,90,62,3
Kossuth,2392,111,75,0
Mahaska,2387,160,120,18
Allamakee,2279,168,141,4
Jefferson,2212,104,71,0
O'Brien,2173,164,123,7
Page,2160,107,101,0
Winnebago,2148,144,71,2
Grundy,2095,112,65,1
Mitchell,2094,92,75,0
Franklin,2056,275,233,16
Guthrie,2030,157,121,5
Hancock,2024,133,118,2
Louisa,2016,382,359,14
Cass,1939,105,90,2
Cherokee,1914,126,107,1
Sac,1873,101,77,0
Harrison,1854,136,104,1
Calhoun,1851,101,75,2
Chickasaw,1835,86,66,0
Shelby,1814,208,192,1
Appanoose,1794,66,54,3
Clarke,1750,216,159,3
Humboldt,1733,100,80,2
Emmet,1701,212,163,7
Palo Alto,1643,105,66,0
Montgomery,1495,69,56,4
Howard,1443,87,47,0
Greene,1408,45,38,0
Pocahontas,1357,122,109,2
Monona,1291,104,88,1
Worth,1253,75,53,0
Lyon,1236,136,120,2
Keokuk,1216,47,26,1
Adair,1187,43,20,1
Decatur,1081,33,24,0
Lucas,1060,80,36,4
Ida,1057,36,29,0
Taylor,985,107,99,0
Monroe,960,92,58,8
Davis,950,77,48,2
Van Buren,859,46,24,1
Fremont,813,55,25,0
Ringgold,813,29,23,1
Audubon,797,35,24,1
Osceola,713,91,76,0
Wayne,665,33,21,2
Adams,458,20,17,0
