EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,200281,35089,23179,347
Linn,87641,14794,8466,169
Scott,63535,11869,6491,92
Johnson,59580,9883,6899,39
Black Hawk,53147,11299,7601,147
Woodbury,45653,10772,8335,137
Dubuque,44769,9500,6714,99
Story,42324,7033,4759,24
Dallas,39230,6651,4366,60
Pottawattamie,35877,6885,4083,74
Warren,20116,2970,1695,15
Cerro Gordo,18049,3740,2036,52
Webster,17215,3787,2404,39
Clinton,16087,3476,2012,45
Des Moines,15851,3041,1936,23
Muscatine,15794,3064,1805,72
Marshall,15738,3622,2555,50
Jasper,12800,2323,1521,46
Wapello,12262,2685,1775,72
Sioux,12109,3845,2871,29
Buena Vista,11965,3173,2487,14
Lee,11556,2307,1307,19
Marion,11056,2135,1382,22
Plymouth,10290,2892,2054,44
Boone,9661,1464,917,12
Benton,9547,1758,979,23
Carroll,8835,2045,1398,25
Bremer,8773,2030,1103,13
Washington,8612,1506,842,16
Pending Investigation,8599,710,18,0
Henry,8068,1953,1300,7
Dickinson,7945,1461,932,12
Jones,7691,2372,1394,18
Mahaska,7494,1342,886,28
Winneshiek,7074,1068,615,13
Buchanan,7064,1235,692,10
Crawford,6948,1833,1485,16
Cedar,6669,1149,649,14
Fayette,6664,1102,584,12
Jackson,6613,1519,983,17
Tama,6444,1574,1130,42
Wright,6303,1317,913,7
Poweshiek,6294,1039,664,14
Hardin,6222,1233,677,12
Clay,6152,1257,716,5
Iowa,6112,1016,576,14
Delaware,6091,1482,997,21
Mills,6061,1118,640,9
Floyd,5825,1124,560,21
Kossuth,5701,1182,607,8
Hamilton,5607,1199,576,14
Jefferson,5431,766,369,5
Madison,5278,733,452,5
Butler,5164,1076,577,8
Clayton,5138,1158,668,10
Union,5106,851,350,7
O'Brien,5022,1356,925,32
Harrison,4799,1141,783,32
Page,4658,1196,848,5
Cass,4642,857,554,25
Winnebago,4628,964,602,25
Allamakee,4410,896,488,13
Hancock,4361,921,522,8
Appanoose,4358,830,410,13
Cherokee,4356,971,535,4
Calhoun,4305,1099,635,7
Grundy,4278,895,492,14
Mitchell,4211,844,414,9
Guthrie,4186,788,496,15
Louisa,4145,904,607,22
Sac,4121,906,518,8
Chickasaw,4020,921,735,5
Shelby,3870,807,496,11
Franklin,3797,766,458,21
Humboldt,3620,814,461,5
Emmet,3619,792,494,26
Palo Alto,3431,678,398,4
Lyon,3400,1077,661,9
Clarke,3331,510,390,4
Greene,3189,543,279,2
Howard,3173,588,317,9
Montgomery,3079,522,269,11
Keokuk,3000,658,299,7
Monona,2801,460,295,7
Pocahontas,2768,602,336,4
Adair,2678,460,267,9
Worth,2662,388,209,1
Lucas,2595,345,243,6
Decatur,2449,342,223,0
Ida,2357,549,308,15
Davis,2286,490,265,9
Monroe,2243,466,306,13
Fremont,2005,384,255,3
Van Buren,2000,381,231,5
Taylor,1947,481,308,3
Audubon,1861,311,222,2
Osceola,1858,548,362,1
Ringgold,1763,250,117,2
Wayne,1659,308,219,7
Adams,1137,183,97,2
