EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,29947,4726,2098,143
Woodbury,12706,2915,2110,37
Linn,11801,984,792,80
Black Hawk,10686,1792,1037,50
Scott,8296,386,324,10
Johnson,8143,626,447,8
Dubuque,6062,362,208,21
Dallas,5631,959,624,26
Buena Vista,5266,1128,218,2
Pottawattamie,4275,339,204,10
Marshall,4221,920,549,18
Muscatine,3293,568,461,41
Story,3115,147,86,1
Wapello,3056,643,355,16
Cerro Gordo,2992,34,21,1
Warren,2666,174,125,1
Crawford,2211,572,342,2
Jasper,2164,272,199,17
Webster,2146,81,31,1
Clinton,2076,65,59,1
Wright,1847,242,49,0
Boone,1804,76,41,0
Washington,1725,200,160,8
Sioux,1689,311,141,0
Tama,1687,415,322,29
Bremer,1602,71,61,6
Des Moines,1465,70,51,2
Plymouth,1402,156,94,2
Mills,1331,20,20,0
Hamilton,1285,82,26,0
Louisa,1173,350,261,11
Marion,1153,35,25,0
Benton,1148,44,33,1
Floyd,1141,19,16,1
Cedar,1078,50,44,1
Winneshiek,996,24,24,0
Fayette,978,27,26,0
Henry,970,74,61,2
Allamakee,939,120,89,4
Buchanan,935,34,29,1
Butler,896,16,12,1
Mahaska,894,100,39,13
Lee,874,31,20,0
Jones,872,37,36,0
Iowa,813,33,32,0
Clayton,805,34,29,3
Carroll,799,17,9,1
Delaware,775,19,15,1
Poweshiek,758,92,79,8
Kossuth,751,16,8,0
Sac,734,30,18,0
Page,711,16,10,0
Hardin,705,31,11,0
Jefferson,704,36,13,0
Hancock,703,22,8,0
Franklin,694,30,7,0
Jackson,672,14,8,0
Madison,672,29,24,2
O'Brien,630,47,19,0
Grundy,608,19,16,0
Clarke,589,75,42,1
Cherokee,586,46,27,0
Clay,578,34,14,0
Guthrie,569,55,34,3
Harrison,556,26,22,0
Mitchell,554,4,4,0
Pending Investigation,547,3,0,0
Keokuk,539,15,13,0
Union,529,11,1,0
Dickinson,505,48,14,0
Appanoose,501,17,11,3
Chickasaw,490,13,8,0
Cass,487,13,11,0
Monona,443,27,19,0
Humboldt,436,20,16,1
Taylor,434,67,12,0
Shelby,418,38,34,0
Montgomery,412,9,6,2
Winnebago,410,11,11,0
Greene,406,14,13,0
Davis,397,28,18,0
Calhoun,396,13,2,0
Howard,382,12,10,0
Ida,372,15,13,0
Emmet,372,30,13,0
Lyon,356,25,19,0
Worth,346,3,3,0
Monroe,339,43,26,6
Pocahontas,338,20,2,0
Lucas,299,22,10,2
Adair,262,9,6,0
Audubon,251,13,9,1
Decatur,249,2,1,0
Palo Alto,233,7,2,0
Osceola,230,37,30,0
Van Buren,210,10,9,0
Ringgold,210,4,3,0
Fremont,189,4,2,0
Wayne,165,2,1,0
Adams,148,7,4,0
