EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair County,219,9,5,0
Appanoose County,436,14,10,3
Boone County,1602,68,40,0
Carroll County,628,12,9,0
Clarke County,467,62,24,0
Dallas County,4931,924,603,24
Davis County,351,26,15,0
Decatur County,223,1,1,0
Greene County,352,13,13,0
Guthrie County,511,53,30,3
Jasper County,1938,261,197,17
Lucas County,239,19,3,1
Madison County,568,30,23,2
Mahaska County,805,97,27,10
Marion County,998,34,25,0
Marshall County,3562,899,540,16
Monroe County,305,38,21,5
Polk County,25519,4340,1908,133
Poweshiek County,645,88,75,8
Ringgold County,176,4,3,0
Story County,2579,118,81,1
Tama County,1556,405,313,27
Union County,463,10,1,0
Warren County,2114,144,104,0
Wayne County,132,1,1,0
Butler County,714,17,12,1
Cerro Gordo County,2674,29,18,1
Chickasaw County,407,12,8,0
Floyd County,911,20,10,1
Franklin County,612,13,8,0
Hancock County,551,16,8,0
Hardin County,535,17,10,0
Kossuth County,398,14,3,0
Mitchell County,358,4,4,0
Winnebago County,350,11,10,0
Worth County,295,3,3,0
Wright County,1319,189,32,0
Buena Vista County,4235,850,91,1
Calhoun County,305,3,2,0
Cherokee County,469,32,25,0
Clay County,394,18,13,0
Dickinson County,353,25,7,0
Emmet County,267,18,6,0
Hamilton County,1082,44,17,0
Humboldt County,331,18,12,1
Ida County,307,14,13,0
Lyon County,286,24,18,0
Monona County,379,25,18,0
O'Brien County,442,33,18,0
Osceola County,188,34,28,0
Palo Alto County,161,7,2,0
Plymouth County,1134,135,91,2
Pocahontas County,267,13,2,0
Sac County,569,21,13,0
Sioux County,1238,287,131,0
Webster County,1608,43,27,1
Woodbury County,11259,2785,1771,36
Adams County,121,7,4,0
Audubon County,218,13,8,1
Cass County,385,12,11,0
Crawford County,1938,529,326,2
Fremont County,147,4,2,0
Harrison County,443,25,18,0
Mills County,1218,19,18,0
Montgomery County,328,8,6,0
Page County,604,14,10,0
Pottawattamie County,3169,273,170,8
Shelby County,328,37,31,0
Taylor County,373,59,5,0
Cedar County,859,49,44,1
Clinton County,1600,64,58,1
Des Moines County,942,66,51,1
Henry County,725,72,57,1
Iowa County,691,34,31,0
Jackson County,549,12,8,0
Jefferson County,450,34,13,0
Johnson County,7122,616,443,9
Keokuk County,475,14,13,0
Lee County,663,27,19,0
Louisa County,1069,346,255,11
Muscatine County,3024,559,442,41
Scott County,6799,364,317,10
Van Buren,180,9,8,0
Wapello County,2560,612,289,13
Washington County,1457,190,158,8
Allamakee County,823,120,88,4
Benton County,955,43,33,1
Black Hawk County,9375,1759,1011,45
Bremer County,1133,69,59,6
Buchanan County,752,33,28,0
Clayton County,653,34,26,3
Delaware County,591,17,14,1
Dubuque County,5440,350,188,20
Fayette County,813,27,26,0
Grundy County,460,20,15,0
Howard County,328,12,10,0
Jones County,742,37,36,0
Linn County,9492,958,773,79
Winneshiek County,725,24,21,0
Pending Investigation,0,0,0,0
