EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,103254,12004,9269,218
Linn,39693,2802,2308,92
Johnson,29175,2757,1849,24
Scott,28731,2038,1559,19
Black Hawk,27824,3543,2868,72
Woodbury,23871,4003,3561,54
Dubuque,23253,1929,1434,36
Story,22948,1732,1096,16
Dallas,20178,2149,1712,36
Pottawattamie,17168,1532,1250,34
Webster,9920,709,615,8
Warren,9645,672,500,5
Marshall,9334,1590,1347,28
Cerro Gordo,9227,728,543,20
Buena Vista,8250,1817,1767,12
Muscatine,7635,937,752,48
Pending Investigation,7560,10,0,0
Clinton,7236,703,286,8
Wapello,6555,1036,888,45
Des Moines,5891,441,133,3
Jasper,5708,532,422,30
Sioux,5284,817,576,3
Plymouth,4746,643,423,15
Boone,4651,324,226,3
Marion,4603,358,198,0
Dickinson,4265,404,360,5
Lee,4207,296,87,5
Carroll,4062,320,187,2
Bremer,4058,269,171,7
Crawford,4031,803,705,3
Benton,3909,184,132,1
Wright,3712,495,430,1
Tama,3647,593,503,29
Washington,3516,319,290,11
Mahaska,3432,197,126,18
Buchanan,3365,166,98,1
Henry,3185,208,104,4
Fayette,3121,130,76,1
Floyd,3097,188,166,3
Hamilton,3026,248,231,2
Jackson,3012,183,131,1
Mills,3003,119,76,1
Iowa,2978,108,83,1
Winneshiek,2956,191,95,1
Hardin,2932,215,153,1
Clay,2929,234,168,2
Jones,2920,158,118,2
Delaware,2875,185,138,3
Cedar,2788,146,112,1
Madison,2691,150,94,2
Clayton,2612,170,114,3
Butler,2547,169,136,2
Poweshiek,2455,177,147,8
Kossuth,2429,114,76,0
Union,2427,91,63,3
Allamakee,2308,168,141,4
Jefferson,2248,108,75,0
O'Brien,2197,172,125,7
Page,2177,106,105,0
Winnebago,2169,146,73,6
Grundy,2130,115,70,1
Mitchell,2112,92,76,0
Franklin,2072,276,241,16
Hancock,2053,139,124,2
Guthrie,2049,160,122,5
Louisa,2035,384,360,14
Cass,1967,107,97,2
Cherokee,1934,129,116,1
Sac,1910,103,79,0
Calhoun,1881,104,82,2
Harrison,1875,140,108,1
Chickasaw,1875,90,75,0
Shelby,1846,210,196,1
Appanoose,1815,69,55,3
Clarke,1769,221,168,3
Humboldt,1747,101,87,2
Emmet,1733,215,174,7
Palo Alto,1661,106,72,0
Montgomery,1504,69,59,4
Howard,1475,112,51,1
Greene,1431,49,38,0
Pocahontas,1368,122,110,2
Monona,1310,105,89,1
Worth,1276,76,58,0
Lyon,1257,137,122,2
Keokuk,1232,52,27,1
Adair,1197,43,20,1
Decatur,1091,38,24,0
Lucas,1080,83,36,5
Ida,1067,39,29,0
Taylor,992,107,101,0
Monroe,981,93,58,8
Davis,967,78,48,2
Van Buren,882,47,26,1
Ringgold,825,30,25,1
Fremont,821,54,29,0
Audubon,815,36,26,1
Osceola,720,93,78,0
Wayne,688,39,26,2
Adams,466,20,17,0
