EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,237,9,6,0
Appanoose,464,17,10,3
Boone,1655,71,41,0
Carroll,681,13,10,0
Clarke,505,66,32,0
Dallas,5161,938,612,25
Davis,366,28,17,0
Decatur,235,1,1,0
Greene,375,15,13,0
Guthrie,538,54,30,3
Jasper,2040,267,197,17
Lucas,265,21,6,2
Madison,603,29,24,2
Mahaska,843,98,29,12
Marion,1062,35,25,0
Marshall,3834,909,543,18
Monroe,313,40,26,5
Polk,27193,4520,2009,137
Poweshiek,703,89,77,8
Ringgold,191,4,3,0
Story,2736,121,83,1
Tama,1614,410,319,28
Union,483,9,1,0
Warren,2377,162,115,0
Wayne,147,1,1,0
Cerro,2753,32,18,1
Chickasaw,436,13,8,0
Floyd,946,22,10,1
Franklin,635,13,8,0
Hancock,551,16,8,0
Hardin,535,21,11,0
Kossuth,398,13,8,0
Mitchell,358,4,4,0
Winnebago,350,11,10,0
Worth,295,3,3,0
Wright,1319,212,34,0
Calhoun,305,5,2,0
Cherokee,469,36,27,0
Clay,394,25,13,0
Dickinson,353,28,8,0
Emmet,267,23,8,0
Hamilton,1082,60,24,0
Humboldt,331,19,13,1
Ida,307,15,13,0
Lyon,286,25,18,0
Monona,379,25,19,0
O'Brien,442,39,19,0
Osceola,188,34,29,0
Palo,161,7,2,0
Plymouth,1134,146,92,2
Pocahontas,267,15,2,0
Sac,569,27,16,0
Sioux,1238,293,136,0
Webster,1608,61,28,1
Woodbury,11259,2836,1985,37
Audubon,218,13,9,1
Cass,385,12,11,0
Crawford,1938,546,336,2
Fremont,147,4,2,0
Harrison,443,26,19,0
Mills,1218,20,19,0
Montgomery,328,9,6,1
Page,604,14,10,0
Pottawattamie,3169,307,187,10
Shelby,328,37,32,0
Taylor,373,61,10,0
Clinton,1600,65,59,1
Des,942,67,51,1
Henry,725,72,60,2
Iowa,691,33,31,0
Jackson,549,13,8,0
Jefferson,450,35,13,0
Johnson,7122,618,445,9
Keokuk,475,14,13,0
Lee,663,28,19,0
Louisa,1069,349,256,11
Muscatine,3024,565,460,41
Scott,6799,380,321,10
Van,180,9,9,0
Wapello,2560,625,325,14
Washington,1457,195,159,8
Benton,955,44,33,1
Black,9375,1773,1023,47
Bremer,1133,69,61,6
Buchanan,752,33,28,0
Clayton,653,34,26,3
Delaware,591,19,15,1
Dubuque,5440,354,195,21
Fayette,813,29,26,0
Grundy,460,20,15,0
Howard,328,12,10,0
Jones,742,37,36,0
Linn,9492,968,793,79
Winneshiek,725,24,22,0
