EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,182,8,3,0
Appanoose,307,12,3,3
Boone,1385,54,25,0
Carroll,512,9,7,0
Clarke,346,32,11,0
Dallas,4230,849,513,14
Davis,212,20,10,0
Decatur,191,0,0,0
Greene,298,13,14,0
Guthrie,385,43,29,3
Jasper,1750,256,190,16
Lucas,171,6,1,0
Madison,426,24,11,1
Mahaska,557,52,18,6
Marion,766,29,19,0
Marshall,3270,866,453,11
Monroe,238,33,8,4
Polk,20346,3714,1493,108
Poweshiek,523,86,69,8
Ringgold,126,4,0,0
Story,1966,94,69,1
Tama,1381,390,223,23
Union,341,6,1,0
Warren,1677,107,72,0
Wayne,101,1,1,0
Cerro,2219,22,14,1
Chickasaw,321,8,7,0
Floyd,686,18,9,1
Franklin,515,8,5,0
Hancock,411,12,4,0
Hardin,449,13,9,0
Kossuth,331,7,2,0
Mitchell,317,4,4,0
Winnebago,310,10,7,0
Worth,259,3,3,0
Wright,1042,117,13,0
Calhoun,253,2,1,0
Cherokee,348,15,8,0
Clay,324,10,9,0
Dickinson,281,8,6,0
Emmet,237,7,1,0
Hamilton,892,26,9,0
Humboldt,277,13,7,0
Ida,222,10,6,0
Lyon,241,19,18,0
Monona,305,23,13,0
O'Brien,368,24,14,0
Osceola,171,32,24,0
Palo,143,3,1,0
Plymouth,917,108,71,0
Pocahontas,181,4,2,0
Sac,397,13,4,0
Sioux,909,199,97,0
Webster,1301,27,10,1
Woodbury,9866,2555,1277,24
Audubon,194,11,9,1
Cass,335,11,1,0
Crawford,1679,477,263,2
Fremont,119,4,2,0
Harrison,376,19,17,0
Mills,885,14,11,0
Montgomery,232,6,5,0
Page,482,10,9,0
Pottawattamie,2676,210,114,6
Shelby,271,31,24,0
Taylor,218,37,1,0
Clinton,1328,60,55,1
Des,785,53,31,1
Henry,604,61,42,1
Iowa,611,32,30,0
Jackson,461,11,8,0
Jefferson,323,15,10,0
Johnson,6292,598,336,7
Keokuk,295,13,11,0
Lee,544,22,17,0
Louisa,1010,334,213,7
Muscatine,2823,543,356,39
Scott,5486,331,284,9
Van,144,8,8,0
Wapello,1959,502,157,4
Washington,1302,179,136,8
Benton,829,37,31,1
Black,8247,1676,969,39
Bremer,709,67,54,6
Buchanan,624,31,23,0
Clayton,541,30,24,3
Delaware,495,14,12,0
Dubuque,4425,319,147,16
Fayette,684,26,25,0
Grundy,389,19,12,0
Howard,292,12,10,0
Jones,638,36,34,0
Linn,8023,929,764,75
Winneshiek,645,21,18,0
