EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,153291,18902,15780,288
Linn,62510,5531,4023,130
Johnson,46002,5853,5137,30
Scott,45944,4548,3066,38
Black Hawk,40954,5580,4423,98
Woodbury,37473,7217,5517,96
Dubuque,35795,5204,3340,57
Story,33383,3990,3447,18
Dallas,30143,3445,2779,44
Pottawattamie,26627,3239,2351,44
Warren,15022,1251,963,7
Webster,14059,1832,1325,15
Cerro Gordo,13334,1366,1045,25
Marshall,12792,2015,1754,36
Clinton,11758,1487,1114,26
Muscatine,11594,1444,1073,58
Des Moines,11565,1390,798,10
Buena Vista,10264,2255,1985,12
Jasper,9602,1102,838,34
Sioux,9542,2427,1690,16
Wapello,9513,1527,1389,62
Lee,8402,957,647,10
Marion,8274,1009,892,10
Plymouth,8081,1661,1142,28
Boone,7488,717,512,9
Carroll,6982,1145,679,12
Benton,6835,583,331,2
Washington,6292,655,470,11
Bremer,6288,673,491,9
Dickinson,6181,736,523,7
Henry,6173,1056,763,5
Crawford,6007,1355,1085,14
Mahaska,6006,692,439,24
Buchanan,5299,451,288,4
Pending Investigation,5299,26,0,0
Winneshiek,5298,473,366,9
Tama,5184,944,725,37
Wright,5059,720,596,1
Fayette,4927,375,229,4
Jackson,4912,630,357,3
Cedar,4892,462,250,5
Jones,4834,445,283,4
Poweshiek,4724,458,329,11
Delaware,4700,778,531,12
Iowa,4680,407,213,9
Hardin,4616,476,304,7
Clay,4615,528,329,4
Mills,4540,403,192,2
Floyd,4417,435,391,11
Hamilton,4302,471,423,4
Kossuth,4286,467,294,0
Madison,4176,360,240,3
Butler,3911,379,332,2
Clayton,3849,421,316,3
Union,3796,232,205,4
Harrison,3714,656,268,11
O'Brien,3695,665,390,14
Winnebago,3597,491,304,19
Cass,3574,390,270,3
Page,3494,400,291,0
Jefferson,3485,236,137,1
Allamakee,3352,366,256,9
Cherokee,3327,402,257,2
Grundy,3243,307,225,5
Sac,3241,399,262,4
Guthrie,3218,392,245,15
Mitchell,3215,279,195,0
Appanoose,3177,225,142,3
Louisa,3110,520,415,15
Calhoun,3074,307,240,4
Hancock,3065,319,253,4
Chickasaw,2978,356,317,1
Shelby,2908,372,330,1
Franklin,2831,380,340,18
Emmet,2770,430,280,17
Humboldt,2763,322,241,3
Clarke,2738,349,259,3
Palo Alto,2551,312,216,2
Lyon,2497,551,343,7
Greene,2491,186,107,0
Howard,2445,269,182,9
Montgomery,2291,175,149,7
Monona,2248,244,168,1
Pocahontas,2081,223,164,2
Keokuk,2027,160,118,1
Lucas,2013,201,152,6
Adair,1997,162,70,1
Worth,1975,144,108,0
Decatur,1909,150,65,0
Ida,1814,192,127,2
Monroe,1769,259,150,11
Davis,1601,176,125,4
Fremont,1551,204,121,1
Taylor,1526,237,156,2
Van Buren,1463,175,110,2
Audubon,1433,144,84,1
Ringgold,1381,88,71,2
Osceola,1358,279,177,1
Wayne,1345,120,95,3
Adams,838,81,41,0
