EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,152344,18739,15734,286
Linn,61867,5407,3994,129
Johnson,45673,5799,5105,30
Scott,45521,4433,3026,38
Black Hawk,40642,5502,4410,98
Woodbury,37156,7115,5487,94
Dubuque,35440,5087,3293,57
Story,33223,3968,3437,18
Dallas,29995,3415,2769,44
Pottawattamie,26428,3201,2339,44
Warren,14898,1211,961,7
Webster,14025,1824,1309,15
Cerro Gordo,13269,1352,1041,25
Marshall,12713,1993,1754,36
Clinton,11648,1452,1107,26
Muscatine,11524,1417,1065,58
Des Moines,11438,1351,797,10
Buena Vista,10233,2245,1983,12
Jasper,9529,1079,834,34
Sioux,9451,2393,1678,16
Wapello,9445,1507,1386,62
Lee,8320,940,643,10
Marion,8201,982,888,10
Plymouth,7988,1630,1137,27
Boone,7444,709,509,9
Carroll,6900,1114,669,12
Benton,6758,567,324,2
Washington,6258,647,464,11
Bremer,6235,661,489,9
Henry,6140,1045,762,5
Dickinson,6136,725,521,7
Crawford,5994,1352,1083,14
Mahaska,5948,678,429,24
Winneshiek,5257,465,365,9
Buchanan,5254,437,284,4
Pending Investigation,5230,14,0,0
Tama,5154,934,723,37
Wright,5033,715,592,1
Fayette,4890,367,225,4
Jackson,4835,594,356,3
Cedar,4833,444,248,5
Jones,4773,431,278,4
Poweshiek,4698,454,326,11
Delaware,4657,761,524,12
Iowa,4641,394,208,8
Clay,4588,524,326,4
Hardin,4543,468,303,6
Mills,4504,382,188,1
Floyd,4395,428,386,11
Hamilton,4272,466,411,4
Kossuth,4244,457,285,0
Madison,4155,356,236,3
Butler,3878,363,323,2
Clayton,3803,405,304,3
Union,3764,228,202,4
Harrison,3672,646,267,11
O'Brien,3657,633,387,14
Winnebago,3555,474,304,19
Cass,3544,378,260,2
Page,3466,389,291,0
Jefferson,3457,233,137,1
Allamakee,3329,359,256,8
Cherokee,3312,391,257,2
Grundy,3219,301,224,5
Sac,3219,390,260,4
Guthrie,3205,384,245,15
Mitchell,3188,261,195,0
Appanoose,3134,221,137,3
Louisa,3099,517,415,15
Calhoun,3058,299,238,4
Hancock,3028,309,245,4
Chickasaw,2954,346,317,1
Shelby,2884,366,323,1
Franklin,2817,380,340,18
Humboldt,2750,320,241,3
Emmet,2738,423,279,17
Clarke,2716,342,258,3
Palo Alto,2534,310,215,2
Greene,2482,184,106,0
Lyon,2470,541,333,7
Howard,2428,266,182,9
Montgomery,2269,168,144,7
Monona,2226,241,168,1
Pocahontas,2037,219,162,2
Keokuk,2020,159,117,1
Lucas,1993,199,152,6
Adair,1974,155,70,1
Worth,1961,141,108,0
Decatur,1897,149,65,0
Ida,1805,188,125,2
Monroe,1754,258,150,11
Davis,1585,168,123,4
Fremont,1537,197,119,1
Taylor,1513,231,155,2
Van Buren,1453,171,110,2
Audubon,1432,141,83,1
Ringgold,1375,88,70,2
Osceola,1345,271,176,0
Wayne,1335,117,95,3
Adams,830,79,38,0
