EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,121121,14764,11096,253
Linn,45916,3542,2786,101
Johnson,36498,4854,2298,27
Scott,33514,2537,1924,26
Black Hawk,32090,4195,3288,83
Story,28009,3157,1412,17
Woodbury,27088,4600,3820,59
Dubuque,26680,2418,1815,38
Dallas,23495,2599,2012,38
Pottawattamie,19300,1828,1555,36
Warren,11455,908,610,6
Webster,11196,1162,697,14
Cerro Gordo,10551,958,668,21
Marshall,10254,1741,1502,32
Buena Vista,8804,1901,1791,12
Clinton,8800,1005,574,17
Muscatine,8717,1045,855,52
Des Moines,7892,689,324,6
Wapello,7609,1199,1030,57
Jasper,6920,687,485,32
Sioux,6292,1119,719,3
Marion,6220,672,407,3
Plymouth,5853,931,538,20
Lee,5667,555,200,6
Boone,5493,421,293,6
Carroll,5027,559,254,5
Dickinson,4739,452,385,6
Bremer,4737,437,244,7
Benton,4571,249,177,1
Crawford,4570,911,762,4
Henry,4489,465,180,4
Washington,4326,401,323,11
Mahaska,4319,295,196,19
Tama,4108,673,554,30
Wright,4058,541,484,1
Buchanan,3916,209,152,1
Fayette,3591,171,117,1
Winneshiek,3580,263,162,5
Floyd,3542,262,221,3
Iowa,3498,163,102,1
Jackson,3496,265,173,3
Jones,3495,223,147,3
Delaware,3484,287,261,3
Hamilton,3412,308,247,3
Cedar,3386,204,139,1
Hardin,3332,263,196,1
Clay,3325,258,223,3
Mills,3320,149,105,1
Poweshiek,3175,220,183,8
Madison,3141,184,147,2
Butler,3001,246,218,2
Clayton,2965,217,186,3
Kossuth,2960,175,109,0
Union,2785,105,84,3
Winnebago,2699,210,117,10
Allamakee,2646,225,160,5
O'Brien,2629,265,157,8
Jefferson,2564,126,95,1
Grundy,2527,186,95,2
Mitchell,2513,169,84,0
Page,2460,137,125,0
Guthrie,2426,205,151,5
Hancock,2374,170,151,2
Franklin,2355,324,279,17
Appanoose,2342,116,94,3
Chickasaw,2324,192,91,0
Sac,2306,154,97,0
Cass,2289,122,113,2
Cherokee,2288,160,131,2
Louisa,2287,406,363,14
Harrison,2236,162,149,2
Calhoun,2209,155,113,2
Shelby,2127,234,223,1
Clarke,2056,249,211,3
Humboldt,2046,166,100,2
Emmet,1978,235,196,10
Palo Alto,1927,143,103,0
Howard,1837,174,83,4
Montgomery,1704,83,78,5
Greene,1646,72,45,0
Monona,1590,121,96,1
Pending Investigation,1570,15,0,0
Pocahontas,1557,146,117,2
Keokuk,1512,82,43,1
Lyon,1505,196,158,3
Worth,1492,98,74,0
Adair,1414,57,40,1
Lucas,1403,123,73,6
Decatur,1337,57,32,0
Ida,1327,74,34,0
Monroe,1232,134,79,8
Davis,1143,107,71,4
Taylor,1119,116,108,1
Van Buren,1115,108,42,1
Ringgold,1010,37,31,2
Wayne,974,76,50,2
Audubon,969,46,29,1
Fremont,950,66,45,0
Osceola,823,109,91,0
Adams,564,27,21,0
