EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,104728,12276,9379,222
Linn,40207,2856,2356,93
Johnson,29974,3157,1873,26
Scott,29201,2100,1584,19
Black Hawk,28172,3621,2896,72
Woodbury,24076,4021,3571,55
Dubuque,23533,1964,1457,36
Story,23419,1911,1102,16
Dallas,20467,2198,1743,37
Pottawattamie,17304,1562,1283,34
Webster,10029,715,622,8
Warren,9769,692,511,5
Marshall,9407,1604,1361,29
Cerro Gordo,9322,743,548,20
Buena Vista,8296,1822,1770,12
Muscatine,7735,941,751,51
Pending Investigation,7641,15,0,0
Clinton,7406,750,298,9
Wapello,6615,1049,903,46
Des Moines,6205,503,134,5
Jasper,5778,540,426,30
Sioux,5399,851,584,3
Marion,4848,395,200,0
Plymouth,4828,669,427,17
Boone,4706,329,229,4
Lee,4374,345,87,5
Dickinson,4318,412,364,5
Bremer,4096,279,176,7
Carroll,4093,328,192,2
Crawford,4066,812,706,3
Benton,3951,187,132,1
Wright,3739,496,430,1
Tama,3681,608,507,29
Mahaska,3549,204,140,18
Washington,3539,320,295,11
Buchanan,3414,170,103,1
Henry,3260,221,106,4
Fayette,3161,132,77,1
Floyd,3144,193,169,3
Jackson,3054,193,132,1
Hamilton,3050,249,231,2
Mills,3029,121,78,1
Winneshiek,3009,197,96,1
Iowa,2993,109,84,1
Clay,2969,236,168,2
Jones,2959,164,121,2
Hardin,2959,217,158,1
Delaware,2919,189,140,3
Cedar,2818,146,117,1
Madison,2722,155,96,2
Clayton,2643,174,124,3
Poweshiek,2597,180,148,8
Butler,2581,178,140,2
Union,2452,93,64,3
Kossuth,2444,116,77,0
Allamakee,2325,172,142,4
Winnebago,2289,152,73,6
Jefferson,2273,111,75,0
O'Brien,2224,181,126,7
Page,2191,107,106,0
Grundy,2166,119,72,1
Mitchell,2139,91,76,0
Franklin,2100,282,244,16
Hancock,2081,144,125,2
Guthrie,2067,163,124,5
Louisa,2066,388,361,14
Cass,2005,112,98,2
Cherokee,1951,135,121,1
Sac,1935,103,81,0
Chickasaw,1913,97,78,0
Harrison,1897,142,114,1
Calhoun,1893,104,86,2
Shelby,1859,212,198,1
Appanoose,1842,73,57,3
Clarke,1788,224,175,3
Humboldt,1758,102,88,2
Emmet,1749,217,180,7
Palo Alto,1673,107,74,0
Montgomery,1515,70,60,4
Howard,1503,120,52,2
Greene,1446,54,38,0
Pocahontas,1375,124,110,2
Monona,1316,105,89,1
Worth,1290,77,58,0
Lyon,1270,140,124,2
Keokuk,1243,55,27,1
Adair,1213,47,20,1
Decatur,1103,39,24,0
Lucas,1099,85,38,5
Ida,1070,38,29,0
Taylor,1007,107,101,1
Monroe,992,94,58,8
Davis,977,78,48,2
Van Buren,906,49,30,1
Fremont,828,55,32,0
Ringgold,828,30,25,1
Audubon,822,36,27,1
Osceola,728,93,78,0
Wayne,700,41,26,2
Adams,477,20,17,0
