EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,36840,5179,2396,161
Linn,14391,1017,836,80
Woodbury,14035,3005,2426,39
Black Hawk,11886,1835,1088,53
Johnson,9782,643,468,8
Scott,9540,406,358,10
Dallas,7162,1025,662,26
Dubuque,6817,385,223,22
Pottawattamie,6448,510,284,11
Buena Vista,6275,1589,340,6
Marshall,4743,941,584,18
Story,4140,255,110,2
Muscatine,3632,574,492,43
Wapello,3580,676,453,26
Warren,3381,197,156,1
Cerro Gordo,3374,43,25,1
Webster,3267,97,66,1
Jasper,2420,283,201,17
Crawford,2418,621,355,2
Clinton,2349,68,61,1
Sioux,2151,357,161,0
Wright,2146,293,105,0
Boone,2003,101,46,0
Des Moines,1952,66,58,2
Washington,1880,208,170,9
Tama,1862,428,335,29
Bremer,1805,74,66,6
Plymouth,1790,201,113,4
Mills,1596,24,22,0
Hamilton,1494,122,60,0
Benton,1429,46,37,1
Marion,1406,42,29,0
Lee,1261,38,26,1
Floyd,1250,20,17,1
Louisa,1247,355,286,11
Henry,1229,73,65,2
Cedar,1217,54,45,1
Buchanan,1202,35,30,1
Pending Investigation,1157,5,0,0
Carroll,1131,48,14,1
Fayette,1111,28,28,0
Butler,1084,23,13,2
Winneshiek,1082,24,24,0
Mahaska,1062,108,79,14
Jones,1040,41,38,0
Clay,1016,76,26,0
Allamakee,1006,121,91,4
Dickinson,997,151,42,0
Hardin,983,45,12,0
Sac,977,38,25,0
Iowa,941,35,33,0
Clayton,932,35,29,3
Page,907,16,11,0
Delaware,899,27,18,1
Poweshiek,899,95,80,8
Kossuth,898,18,9,0
Jefferson,896,47,25,0
Hancock,857,30,17,0
Jackson,856,14,8,0
O'Brien,851,66,25,1
Franklin,836,49,12,0
Madison,828,34,27,2
Cherokee,786,59,42,0
Grundy,759,23,16,0
Harrison,742,39,23,0
Union,702,10,7,0
Clarke,701,89,54,1
Mitchell,691,8,4,0
Guthrie,665,59,42,3
Calhoun,659,24,11,0
Chickasaw,656,15,10,0
Keokuk,608,15,13,0
Appanoose,603,17,11,3
Cass,578,14,14,0
Winnebago,578,12,11,0
Humboldt,568,33,21,1
Shelby,561,49,36,0
Emmet,558,40,24,0
Montgomery,550,9,6,2
Taylor,544,74,20,0
Monona,534,47,20,0
Howard,503,12,10,0
Greene,495,21,14,0
Davis,465,34,19,1
Pocahontas,457,30,4,0
Lyon,448,31,22,0
Ida,439,18,16,0
Palo Alto,438,14,5,0
Monroe,405,47,37,6
Worth,397,4,3,0
Lucas,334,24,14,3
Decatur,332,7,1,0
Adair,329,11,9,0
Osceola,289,49,32,0
Audubon,278,14,10,1
Fremont,275,4,2,0
Van Buren,271,11,9,0
Ringgold,255,8,4,0
Wayne,226,5,1,0
Adams,198,7,5,0
