EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,96772,11160,8640,212
Linn,37286,2611,2152,89
Scott,27313,1890,1423,17
Johnson,27252,2266,1715,22
Black Hawk,26558,3368,2715,67
Woodbury,22985,3843,3480,54
Dubuque,22277,1837,1281,33
Story,21610,1424,1022,16
Dallas,18989,2014,1596,35
Pottawattamie,16508,1457,1115,30
Marshall,9016,1524,1246,28
Warren,9015,611,443,3
Cerro Gordo,8691,696,493,20
Buena Vista,8127,1809,1752,12
Webster,7837,893,662,8
Muscatine,7350,901,744,48
Pending Investigation,6732,1,0,0
Clinton,6644,551,199,4
Wapello,6281,968,842,39
Jasper,5356,507,401,29
Des Moines,5182,298,121,2
Sioux,4913,711,548,3
Boone,4442,297,204,3
Plymouth,4416,541,394,13
Dickinson,4128,393,344,5
Marion,3971,220,163,0
Bremer,3894,248,146,7
Crawford,3880,760,689,3
Benton,3738,177,117,1
Carroll,3715,246,167,2
Lee,3665,179,68,5
Tama,3501,566,486,29
Wright,3487,497,426,1
Washington,3356,312,284,10
Buchanan,3207,152,83,1
Henry,2968,174,99,4
Fayette,2911,108,68,0
Floyd,2910,185,153,3
Mills,2890,103,63,1
Jackson,2882,174,110,1
Iowa,2862,100,70,1
Clay,2823,220,163,1
Jones,2789,140,105,2
Hardin,2764,194,134,1
Hamilton,2747,264,248,1
Winneshiek,2701,118,84,1
Delaware,2663,147,116,1
Cedar,2656,139,105,1
Madison,2533,140,86,2
Clayton,2456,128,95,3
Butler,2439,143,120,2
Union,2335,89,56,3
Poweshiek,2315,168,127,8
Mahaska,2293,150,119,17
Kossuth,2286,107,75,0
Allamakee,2215,163,140,4
Page,2133,104,95,0
Jefferson,2132,95,68,0
O'Brien,2112,155,120,6
Mitchell,2031,85,71,0
Winnebago,2009,119,65,1
Grundy,1986,95,60,1
Louisa,1963,379,358,14
Hancock,1944,129,120,2
Guthrie,1928,150,113,5
Franklin,1925,272,218,16
Cass,1861,96,75,2
Cherokee,1848,120,102,1
Sac,1827,93,74,0
Chickasaw,1774,71,61,0
Shelby,1759,195,180,1
Harrison,1756,123,100,1
Calhoun,1703,101,79,2
Appanoose,1697,59,46,3
Clarke,1655,213,153,3
Emmet,1651,206,148,5
Palo Alto,1579,104,64,0
Montgomery,1469,66,55,4
Humboldt,1424,134,101,2
Howard,1381,68,45,0
Greene,1344,43,38,0
Pocahontas,1278,122,108,2
Monona,1247,93,84,1
Worth,1204,71,49,0
Lyon,1203,131,114,2
Keokuk,1179,45,25,1
Adair,1142,42,20,1
Ida,1027,34,26,0
Lucas,964,78,35,4
Taylor,952,104,91,0
Monroe,911,82,56,8
Davis,908,72,48,2
Van Buren,815,42,22,1
Fremont,787,46,22,0
Decatur,778,31,24,0
Ringgold,772,25,21,1
Audubon,771,30,21,1
Osceola,698,90,75,0
Wayne,567,26,18,2
Adams,448,17,16,0
