EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,194433,33029,20131,331
Linn,84731,13884,6280,164
Scott,61109,10877,5181,83
Johnson,57870,9357,6105,36
Black Hawk,51507,10736,6242,134
Woodbury,44322,10183,7611,123
Dubuque,43699,9082,5694,91
Story,41204,6703,4176,21
Dallas,38101,6247,3664,57
Pottawattamie,33957,6127,3520,69
Warren,19513,2740,1387,11
Cerro Gordo,17530,3466,1563,44
Webster,16733,3529,2002,33
Clinton,15503,3200,1600,39
Marshall,15361,3436,2172,45
Des Moines,15298,2818,1587,19
Muscatine,15220,2813,1533,68
Jasper,12316,2129,1253,43
Wapello,11821,2512,1579,71
Sioux,11755,3648,2608,25
Buena Vista,11676,3005,2332,14
Lee,11129,1982,1066,16
Marion,10683,2018,1133,19
Plymouth,9911,2694,1790,41
Boone,9312,1342,777,11
Benton,9288,1662,683,17
Carroll,8608,1953,1220,22
Bremer,8517,1915,780,12
Washington,8337,1374,712,14
Pending Investigation,8204,632,2,0
Henry,7840,1804,1157,7
Dickinson,7589,1343,824,10
Jones,7508,2280,559,13
Mahaska,7312,1254,744,27
Buchanan,6850,1151,523,10
Winneshiek,6820,954,548,12
Crawford,6794,1736,1385,15
Fayette,6455,1015,437,9
Cedar,6437,1050,518,13
Jackson,6405,1421,757,13
Tama,6318,1522,988,40
Poweshiek,6108,979,516,13
Wright,6097,1215,789,6
Hardin,6035,1130,532,10
Iowa,5936,924,451,12
Clay,5919,1135,583,4
Delaware,5898,1403,850,21
Mills,5780,1021,454,7
Floyd,5662,1027,481,16
Kossuth,5493,1023,503,6
Hamilton,5384,1080,509,9
Jefferson,5223,685,275,2
Madison,5141,673,385,4
Butler,5035,977,457,6
Clayton,4964,1073,547,5
Union,4921,754,296,6
O'Brien,4849,1261,776,30
Harrison,4592,1062,710,29
Winnebago,4534,910,515,23
Page,4534,1113,449,4
Cass,4467,797,503,21
Allamakee,4236,772,414,11
Appanoose,4206,773,271,10
Hancock,4196,849,396,7
Calhoun,4180,1048,364,7
Cherokee,4170,815,435,4
Grundy,4144,838,358,11
Mitchell,4115,778,308,4
Guthrie,4071,738,426,15
Sac,4007,829,424,7
Louisa,3995,840,544,16
Chickasaw,3887,837,667,4
Franklin,3695,730,399,21
Shelby,3689,751,440,10
Emmet,3501,747,447,24
Humboldt,3498,752,384,5
Palo Alto,3325,645,345,4
Lyon,3262,1005,582,8
Clarke,3240,477,362,4
Greene,3098,516,203,0
Howard,3085,543,273,9
Montgomery,2925,449,206,11
Keokuk,2875,573,196,7
Monona,2696,423,269,2
Pocahontas,2691,553,252,2
Adair,2599,429,222,8
Worth,2584,354,156,0
Lucas,2506,321,208,6
Decatur,2371,315,175,0
Ida,2262,469,231,13
Davis,2190,450,200,8
Monroe,2178,437,266,12
Fremont,1929,354,221,3
Van Buren,1928,352,199,5
Taylor,1883,456,263,3
Audubon,1798,294,187,2
Osceola,1798,513,316,1
Ringgold,1706,202,99,2
Wayne,1623,295,156,7
Adams,1095,164,84,2
