EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Lyon,1023,102,86,0
Osceola,608,78,66,0
Dickinson,3751,375,278,4
Emmet,1484,180,106,1
Allamakee,1997,151,133,4
Kossuth,1926,78,41,0
Winneshiek,2201,85,55,1
Howard,1234,48,37,0
Winnebago,1517,77,34,0
Mitchell,1831,76,66,0
Worth,1084,61,22,0
Sioux,4072,597,493,2
O'Brien,1853,131,92,1
Clay,2485,171,140,1
Palo Alto,1408,80,47,0
Hancock,1752,117,92,2
Cerro Gordo,7777,577,242,17
Chickasaw,1573,52,46,0
Floyd,2502,129,90,2
Clayton,2139,99,74,3
Fayette,2573,81,55,0
Plymouth,3947,442,332,8
Cherokee,1637,97,86,1
Buena Vista,7807,1786,1719,12
Pocahontas,1166,113,101,1
Humboldt,1237,92,74,1
Wright,3174,444,391,1
Bremer,3362,189,93,7
Franklin,1707,220,147,5
Butler,2164,114,96,2
Dubuque,19741,1538,775,29
Delaware,2094,90,77,1
Webster,6678,728,357,6
Buchanan,2791,111,59,1
Black Hawk,23697,3007,2326,62
Woodbury,20989,3653,3264,51
Ida,873,29,23,0
Sac,1653,81,66,0
Calhoun,1526,82,71,2
Hamilton,2535,241,221,1
Hardin,2506,165,86,0
Grundy,1786,74,42,1
Jackson,2567,141,42,1
Jones,2461,124,73,2
Linn,32327,2116,1647,87
Benton,3267,143,91,1
Tama,3146,537,448,29
Monona,1137,90,78,0
Crawford,3563,720,674,3
Carroll,3232,181,145,1
Greene,1199,38,32,0
Boone,3846,228,160,2
Story,13308,1109,828,14
Marshall,8099,1389,1052,24
Clinton,5515,319,122,3
Cedar,2354,120,85,1
Harrison,1544,97,73,0
Shelby,1541,162,134,1
Audubon,701,28,15,1
Guthrie,1698,127,82,5
Johnson,23966,1943,1418,15
Dallas,16381,1789,1298,35
Iowa,2579,90,61,1
Polk,83425,9733,6811,203
Poweshiek,1951,147,106,8
Jasper,4625,455,343,24
Scott,23515,1595,940,12
Muscatine,6545,829,708,48
Pottawattamie,14566,1218,834,23
Cass,1392,48,35,1
Washington,3042,287,265,10
Adair,909,21,17,0
Keokuk,1049,30,21,1
Warren,7644,528,301,1
Madison,2155,102,53,2
Mahaska,1999,136,107,17
Marion,3261,154,123,0
Louisa,1802,379,349,14
Mills,2663,83,44,0
Montgomery,1208,43,31,3
Adams,408,16,10,0
Henry,2581,114,85,3
Jefferson,1820,77,63,0
Union,2056,71,35,1
Wapello,5625,849,745,32
Clarke,1465,187,135,3
Lucas,775,47,30,4
Monroe,799,67,45,7
Des Moines,4193,139,91,2
Fremont,659,35,10,0
Page,1821,76,56,0
Taylor,856,93,83,0
Ringgold,708,21,20,1
Van Buren,686,32,21,1
Davis,782,48,41,1
Decatur,593,22,12,0
Wayne,455,16,10,1
Appanoose,1385,43,34,3
Lee,2839,97,52,3
Pending Investigation,0,11,0,0
