EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,98571,11301,8761,212
Linn,37511,2628,2177,90
Scott,27525,1905,1457,17
Johnson,27501,2290,1738,22
Black Hawk,26756,3401,2745,67
Woodbury,23079,3868,3495,54
Dubuque,22611,1858,1300,34
Story,21836,1448,1037,16
Dallas,19362,2034,1616,35
Pottawattamie,16652,1471,1135,31
Webster,9219,685,556,8
Warren,9165,619,453,3
Marshall,9063,1536,1265,28
Cerro Gordo,8848,681,500,20
Buena Vista,8139,1808,1761,12
Muscatine,7384,903,744,48
Pending Investigation,6900,12,0,0
Clinton,6767,584,215,5
Wapello,6319,972,853,39
Jasper,5408,509,408,29
Des Moines,5345,329,125,2
Sioux,4959,721,551,3
Boone,4492,299,207,3
Plymouth,4456,549,400,15
Dickinson,4153,393,345,5
Marion,4066,237,168,0
Crawford,3922,767,690,3
Bremer,3917,252,150,7
Lee,3769,193,69,5
Benton,3753,180,119,1
Carroll,3741,251,177,2
Wright,3578,488,425,1
Tama,3524,572,489,29
Washington,3378,313,286,10
Buchanan,3229,155,85,1
Henry,3010,179,99,4
Floyd,2965,175,146,3
Fayette,2937,114,69,0
Hamilton,2918,240,227,2
Mills,2911,107,66,1
Jackson,2901,174,114,1
Iowa,2877,101,71,1
Clay,2839,223,165,1
Jones,2804,141,106,2
Hardin,2790,198,138,1
Winneshiek,2735,126,87,1
Delaware,2691,148,117,2
Cedar,2678,140,107,1
Madison,2590,141,87,2
Clayton,2475,132,97,3
Butler,2458,146,123,2
Union,2358,89,58,3
Poweshiek,2334,169,128,8
Kossuth,2327,106,74,0
Mahaska,2307,153,120,17
Allamakee,2225,163,140,4
Jefferson,2157,97,68,0
Page,2137,104,98,0
O'Brien,2125,155,120,6
Winnebago,2098,121,67,1
Mitchell,2048,85,71,0
Grundy,2010,98,62,1
Franklin,1996,268,220,16
Hancock,1976,127,117,2
Louisa,1970,379,359,14
Guthrie,1970,152,115,5
Cass,1894,99,75,2
Cherokee,1853,122,102,1
Sac,1838,93,75,0
Calhoun,1795,92,72,2
Chickasaw,1795,77,62,0
Harrison,1779,127,100,1
Shelby,1773,199,182,1
Appanoose,1718,62,49,3
Emmet,1673,209,153,6
Clarke,1661,212,153,3
Humboldt,1639,97,77,2
Palo Alto,1615,102,64,0
Montgomery,1476,66,55,4
Howard,1396,71,45,0
Greene,1363,43,38,0
Pocahontas,1324,119,108,2
Monona,1259,97,84,1
Worth,1218,73,50,0
Lyon,1211,132,114,2
Keokuk,1191,46,25,1
Adair,1157,42,20,1
Ida,1032,34,27,0
Lucas,971,78,35,4
Taylor,958,104,91,0
Monroe,926,84,58,8
Davis,919,73,48,2
Van Buren,828,43,23,1
Fremont,793,49,24,0
Audubon,782,30,22,1
Decatur,781,31,24,0
Ringgold,778,25,21,1
Osceola,698,90,75,0
Wayne,576,29,19,2
Adams,448,18,16,0
