EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,48370,5968,2918,174
Linn,18731,1191,901,82
Woodbury,15978,3147,2658,43
Black Hawk,14606,2070,1204,57
Johnson,14370,1098,540,8
Scott,12210,619,418,10
Dubuque,10085,501,253,22
Dallas,9472,1174,721,29
Pottawattamie,9036,675,539,11
Story,7450,677,177,3
Buena Vista,6923,1695,647,11
Marshall,5591,1011,616,18
Warren,4373,239,198,2
Muscatine,4311,610,516,44
Cerro Gordo,4229,98,33,1
Wapello,4077,698,610,29
Webster,4003,154,97,2
Clinton,3110,90,67,1
Jasper,3011,314,214,17
Crawford,2830,663,398,2
Sioux,2812,446,214,0
Des Moines,2644,84,62,2
Plymouth,2609,295,201,4
Boone,2588,136,83,1
Wright,2570,369,184,0
Pending Investigation,2341,5,2,0
Washington,2202,225,189,9
Tama,2194,438,353,29
Dickinson,2173,238,109,2
Bremer,2143,86,75,6
Benton,1899,57,42,1
Mills,1894,32,25,0
Hamilton,1884,182,129,1
Marion,1827,60,37,0
Lee,1802,47,33,1
Buchanan,1800,44,32,1
Carroll,1783,81,59,1
Floyd,1723,66,30,2
Fayette,1707,32,28,0
Hardin,1696,66,26,0
Iowa,1632,47,34,0
Henry,1593,81,71,3
Cedar,1545,73,50,1
Clay,1530,119,75,0
Butler,1413,45,30,2
Louisa,1407,360,289,13
Jones,1362,52,43,0
Clayton,1318,39,31,3
Winneshiek,1317,28,24,0
Mahaska,1307,117,90,17
Allamakee,1248,123,90,4
Delaware,1203,40,33,1
Sac,1200,61,37,0
Madison,1188,37,30,2
Jefferson,1186,51,41,0
Franklin,1159,74,40,0
Jackson,1155,23,13,0
Page,1152,20,17,0
Kossuth,1146,32,14,0
Poweshiek,1139,104,85,8
Union,1129,25,7,0
Hancock,1115,46,32,0
O'Brien,1101,81,43,1
Grundy,1074,31,17,0
Chickasaw,1066,25,18,0
Cherokee,1005,71,56,0
Calhoun,1004,43,19,0
Harrison,993,49,41,0
Shelby,993,103,65,0
Clarke,986,123,84,2
Guthrie,952,64,50,4
Mitchell,929,21,8,0
Palo Alto,855,29,19,0
Emmet,855,75,37,0
Humboldt,836,48,35,1
Monona,812,70,36,0
Appanoose,809,20,17,3
Greene,798,28,19,0
Winnebago,797,22,12,0
Cass,784,17,16,0
Pocahontas,766,70,11,1
Montgomery,748,10,8,2
Keokuk,747,19,14,1
Howard,652,21,10,0
Ida,637,21,18,0
Taylor,625,78,24,0
Lyon,599,39,33,0
Davis,553,37,26,1
Worth,547,13,8,0
Monroe,511,50,43,6
Lucas,468,29,18,4
Audubon,456,17,12,1
Ringgold,442,13,10,0
Adair,428,15,11,0
Decatur,423,9,9,0
Van Buren,396,19,12,0
Fremont,369,7,2,0
Osceola,361,51,45,0
Wayne,305,8,4,0
Adams,249,8,5,0
