EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,170,6,3,0
Appanoose,280,8,3,3
Boone,1342,53,23,0
Carroll,488,8,7,0
Clarke,332,29,9,0
Dallas,4075,822,505,14
Davis,132,17,10,0
Decatur,185,0,0,0
Greene,289,13,14,0
Guthrie,370,42,29,3
Jasper,1696,250,189,15
Lucas,162,4,1,0
Madison,396,21,11,1
Mahaska,523,48,18,4
Marion,731,28,18,0
Marshall,3209,854,448,10
Monroe,203,30,8,3
Polk,19228,3525,1460,105
Poweshiek,496,85,66,8
Ringgold,112,2,0,0
Story,1870,88,68,1
Tama,1342,383,218,23
Union,312,5,1,0
Warren,1590,100,64,0
Wayne,96,1,1,0
Cerro,1965,20,14,1
Chickasaw,313,8,6,0
Floyd,646,15,8,1
Franklin,463,7,5,0
Hancock,390,11,4,0
Hardin,438,13,9,0
Kossuth,311,7,2,0
Mitchell,304,4,4,0
Winnebago,296,10,6,0
Worth,244,3,3,0
Wright,929,85,9,0
Calhoun,233,2,1,0
Cherokee,318,10,8,0
Clay,303,9,9,0
Dickinson,267,8,6,0
Emmet,218,7,1,0
Hamilton,712,15,9,0
Humboldt,249,10,7,0
Ida,208,8,5,0
Lyon,228,19,18,0
Monona,285,19,13,0
O'Brien,351,24,13,0
Osceola,161,30,24,0
Palo,138,3,1,0
Plymouth,850,102,68,0
Pocahontas,154,3,2,0
Sac,328,8,4,0
Sioux,859,188,94,0
Webster,1235,25,10,1
Woodbury,9448,2468,1276,23
Audubon,187,11,9,1
Cass,277,6,1,0
Crawford,1534,445,249,2
Fremont,111,4,2,0
Harrison,362,18,17,0
Mills,615,14,11,0
Montgomery,218,5,5,0
Page,469,10,9,0
Pottawattamie,2505,198,106,5
Shelby,260,28,23,0
Taylor,155,7,1,0
Clinton,1271,61,52,1
Des,749,54,31,1
Henry,584,56,41,1
Iowa,547,32,28,0
Jackson,435,9,7,0
Jefferson,301,14,10,0
Johnson,6104,591,328,7
Keokuk,273,13,10,0
Lee,509,20,17,0
Louisa,994,330,211,7
Muscatine,2776,540,355,38
Scott,5232,329,283,9
Van,136,8,8,0
Wapello,1765,464,156,3
Washington,1227,178,136,8
Benton,788,37,31,1
Black,7976,1663,957,37
Bremer,642,66,53,5
Buchanan,598,31,23,0
Clayton,526,30,24,3
Delaware,469,14,12,0
Dubuque,4116,307,145,16
Fayette,666,26,25,0
Grundy,376,20,12,0
Howard,283,12,10,0
Jones,609,36,33,0
Linn,7597,918,767,75
Winneshiek,620,21,18,0
