EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,210,9,5,0
Appanoose,397,15,9,3
Boone,1561,61,35,0
Carroll,596,9,8,0
Clarke,441,54,20,0
Dallas,4817,900,580,20
Davis,340,21,12,0
Decatur,212,1,0,0
Greene,343,13,13,0
Guthrie,494,50,30,3
Jasper,1896,261,197,16
Lucas,222,17,2,0
Madison,537,28,20,2
Mahaska,773,93,24,10
Marion,944,32,21,0
Marshall,3465,892,530,16
Monroe,292,38,18,5
Polk,24454,4189,1799,126
Poweshiek,615,88,73,8
Ringgold,168,4,2,0
Story,2486,111,77,1
Tama,1526,403,308,27
Union,426,7,1,0
Warren,2023,130,92,0
Wayne,123,1,1,0
Cerro,2594,29,15,1
Chickasaw,393,10,8,0
Floyd,841,19,10,1
Franklin,581,13,5,0
Hancock,545,16,5,0
Hardin,533,17,9,0
Kossuth,398,9,3,0
Mitchell,356,4,4,0
Winnebago,346,11,10,0
Worth,293,3,3,0
Wright,1286,167,25,0
Calhoun,304,2,2,0
Cherokee,465,28,18,0
Clay,392,15,13,0
Dickinson,347,20,6,0
Emmet,265,14,6,0
Hamilton,1076,35,11,0
Humboldt,330,17,12,0
Ida,307,14,11,0
Lyon,281,21,18,0
Monona,379,24,16,0
O'Brien,434,28,16,0
Osceola,187,33,27,0
Palo,160,6,2,0
Plymouth,1117,129,88,2
Pocahontas,267,11,2,0
Sac,569,18,12,0
Sioux,1085,219,127,0
Webster,1605,39,22,1
Woodbury,11242,2745,1649,34
Audubon,217,12,8,1
Cass,383,12,9,0
Crawford,1938,517,310,2
Fremont,144,4,2,0
Harrison,443,23,17,0
Mills,1217,19,13,0
Montgomery,326,7,5,0
Page,599,13,9,0
Pottawattamie,3158,259,157,8
Shelby,327,37,30,0
Taylor,315,54,5,0
Clinton,1598,61,57,1
Des,939,62,45,1
Henry,724,71,53,1
Iowa,690,33,31,0
Jackson,547,12,8,0
Jefferson,444,26,10,0
Johnson,7119,614,412,9
Keokuk,474,15,12,0
Lee,658,25,18,0
Louisa,1062,343,252,11
Muscatine,3021,557,418,41
Scott,6791,359,301,10
Van,179,9,8,0
Wapello,2535,577,270,9
Washington,1456,189,150,8
Benton,953,42,33,1
Black,9346,1743,1000,44
Bremer,1127,69,59,6
Buchanan,750,33,27,0
Clayton,647,34,26,3
Delaware,588,15,13,0
Dubuque,5434,343,173,18
Fayette,810,27,26,0
Grundy,456,20,14,0
Howard,324,12,10,0
Jones,743,36,36,0
Linn,9482,952,771,77
Winneshiek,723,24,20,0
