EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,154937,19292,15997,289
Linn,63495,5754,4119,132
Johnson,46442,5933,5174,30
Scott,46428,4702,3182,42
Black Hawk,41370,5789,4488,101
Woodbury,37713,7313,5703,97
Dubuque,36083,5346,3514,57
Story,33653,4056,3487,18
Dallas,30441,3507,2839,44
Pottawattamie,26774,3295,2416,44
Warren,15172,1281,980,7
Webster,14191,1909,1382,15
Cerro Gordo,13500,1434,1070,27
Marshall,12903,2065,1771,36
Clinton,11850,1509,1140,27
Muscatine,11764,1499,1087,58
Des Moines,11699,1432,835,10
Buena Vista,10338,2274,2013,12
Jasper,9683,1131,862,34
Sioux,9661,2482,1789,17
Wapello,9570,1552,1391,62
Lee,8457,969,665,10
Marion,8352,1039,911,11
Plymouth,8133,1693,1200,31
Boone,7558,726,530,9
Carroll,7077,1177,703,13
Benton,6940,612,345,2
Washington,6374,668,492,11
Bremer,6351,693,509,9
Dickinson,6241,762,549,9
Henry,6236,1081,781,5
Mahaska,6062,718,452,24
Crawford,6048,1367,1105,14
Pending Investigation,5380,17,0,0
Buchanan,5352,466,301,5
Winneshiek,5345,489,374,9
Tama,5234,968,743,37
Wright,5108,742,606,1
Cedar,4972,487,265,7
Fayette,4966,388,241,4
Jackson,4960,652,379,3
Jones,4884,460,301,4
Delaware,4765,806,535,13
Poweshiek,4761,465,344,11
Iowa,4739,424,228,9
Clay,4668,542,354,4
Hardin,4649,485,310,7
Mills,4572,408,207,3
Floyd,4466,445,398,11
Hamilton,4351,480,430,4
Kossuth,4314,478,311,0
Madison,4229,368,260,3
Butler,3951,390,338,3
Clayton,3920,454,320,3
Union,3843,260,211,4
Harrison,3742,677,316,15
O'Brien,3736,695,421,14
Winnebago,3640,504,316,19
Cass,3602,406,285,3
Jefferson,3537,245,141,1
Page,3518,415,315,0
Allamakee,3388,384,260,9
Cherokee,3351,409,279,2
Grundy,3279,324,233,6
Sac,3268,406,277,4
Guthrie,3252,410,262,15
Mitchell,3238,289,200,1
Appanoose,3205,234,147,3
Louisa,3155,530,424,15
Calhoun,3113,316,249,4
Hancock,3112,336,258,4
Chickasaw,3003,367,332,1
Shelby,2954,390,333,2
Franklin,2863,388,345,18
Humboldt,2820,348,247,3
Emmet,2812,442,300,20
Clarke,2764,355,263,3
Palo Alto,2565,322,231,2
Lyon,2520,559,386,8
Greene,2508,189,112,0
Howard,2472,279,184,9
Montgomery,2318,185,152,7
Monona,2254,246,176,2
Pocahontas,2100,235,172,2
Keokuk,2053,168,124,1
Lucas,2036,207,152,6
Adair,2035,183,74,1
Worth,1991,146,111,0
Decatur,1945,155,68,0
Ida,1829,204,140,2
Monroe,1778,264,154,11
Davis,1615,183,128,4
Fremont,1560,210,130,1
Taylor,1542,252,181,2
Van Buren,1475,183,118,2
Audubon,1469,154,90,1
Ringgold,1399,92,72,2
Osceola,1377,290,191,0
Wayne,1363,133,95,3
Adams,842,83,45,0
